,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
0,001003,2025,1,1,0.0011908315,0.91450936,0.084299825,4.3694246e-08
1,001004,2025,1,1,0.003206616,0.993487,0.0033063325,5.733168e-10
2,001005,2025,1,1,0.007532899,0.9921244,0.00034267124,4.5696086e-11
3,001006,2025,1,1,0.00020284293,0.99953353,0.00014173836,0.00012189108
4,001007,2025,1,1,9.6785545e-05,0.9995104,5.419276e-07,0.00039226774
5,001008,2025,1,1,8.906787e-05,0.9995641,1.2493828e-07,0.00034660447
6,001009,2025,0,0,0.91321325,0.08678659,6.804884e-08,1.0858565e-11
7,001010,2025,1,1,0.00015763672,0.9997751,2.1769305e-08,6.7240886e-05
8,001011,2025,1,1,6.358336e-05,0.9638387,2.1074788e-06,0.036095604
9,001012,2025,1,1,0.00069006777,0.9922312,0.0070787775,1.3674778e-10
10,001013,2025,0,1,0.029877165,0.97011507,7.795624e-06,1.0218954e-12
11,001014,2025,1,1,0.025951415,0.9740442,4.382285e-06,1.278558e-12
12,001015,2025,1,1,0.007779017,0.9922093,1.1640778e-05,7.3534993e-13
13,001016,2025,1,1,0.004568792,0.9954123,1.8924684e-05,4.7496694e-12
14,001017,2025,1,1,0.007559938,0.9924353,4.786841e-06,3.4938972e-12
15,001018,2025,0,2,0.0014626505,0.023148883,0.9598176,0.015570851
16,001019,2025,3,3,0.0006304845,5.1768375e-06,1.4391333e-06,0.999363
17,001020,2025,3,3,0.00084126944,0.09713127,0.014954424,0.88707304
18,001021,2025,1,2,0.00020136376,0.34605712,0.6438803,0.009861251
19,001022,2025,2,2,3.4218072e-05,0.017363448,0.98257,3.233251e-05
20,001023,2025,2,2,0.00052547286,0.48205653,0.51741797,4.6336318e-08
21,001024,2025,1,1,0.0014032552,0.998331,0.00026576445,8.125029e-13
22,001025,2025,1,1,0.0032280309,0.9967573,1.4604405e-05,1.5871018e-13
23,001026,2025,3,1,2.2199105e-05,0.84874505,4.509099e-07,0.15123227
24,001027,2025,1,1,3.2950808e-05,0.97742563,0.0009330935,0.021608355
25,001028,2025,1,1,7.094186e-05,0.94087446,0.05342488,0.005629679
26,001029,2025,1,1,9.127593e-05,0.99738544,0.001653559,0.0008696998
