Unnamed: 0,SQ,Ano,densidade_hec,ConcentracaoBOs,EstagioClusterizacao,Startups,UsoeOcupacao_1,UsoeOcupacao_2,UsoeOcupacao_3,EconomiaUrbana,Inovacao_1,Inovacao_2,MobilidadeUrbana_1,MobilidadeUrbana_2,MobilidadeUrbana_3,Usolocal_1,Usolocal_2,DinamicaOcupacao,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
0,001003,2025,77.7346053932629,246120.0,1,-4772.801232161915,-37.91640350025173,-59.38735246882092,-2860.839741476519,1180.1156839100595,-1232.3945362315967,-19.658722984108653,-96947.57038790418,14751.136664508813,9596.464548130978,-50.08424753674085,-1901.447466045292,-61.41753370057619,001003,2025,1,1,0.00085301156,0.69975436,0.2993926,1.228336e-07
1,001004,2025,77.7346053932629,77700.0,1,-4698.756746217363,-38.3183681572372,-55.85109213235691,-2778.9320288434697,1180.1156839100595,-1190.2305954432898,-19.32431040809584,-96947.57038790418,14751.136664508813,9596.464548130978,-50.31737339164774,-1808.491596901736,-60.58969909409296,001004,2025,1,1,0.0027995023,0.98903555,0.008164949,7.900828e-09
2,001005,2025,77.7346053932629,29160.0,1,-4639.967786472514,-38.52365511364821,-53.971045884030566,-2756.50064374621,1180.1156839100595,-1192.8990894269384,-19.345474889651943,-96947.57038790418,14751.136664508813,9596.464548130978,-50.51309499626634,-1771.6052256374028,-58.62112906721412,001005,2025,1,1,0.0070115547,0.99243104,0.0005573814,2.7194238e-09
3,001006,2025,223.10823402629305,2434864.0,1,-4931.442990213696,7650.988383329811,-82.86407186365619,-2865.904486109893,4442.828434975263,-1490.0089266180582,-21.70192602197552,-96438.33974446362,14783.76888371506,9772.108591428305,7638.625599158664,-1936.5756021510144,-59.65542790617426,001006,2025,1,1,0.0004024608,0.9992976,9.661989e-05,0.00020322931
4,001007,2025,155.33404163500688,2103312.0,1,-4967.318318239374,-37.956111816574605,-54.686925401609344,-2736.0168645131357,4442.828434975263,-1584.4862836571983,-22.451249158087663,-96765.88409323987,14765.283869312874,9658.716924889157,-49.52387180687946,-1929.3430064121624,-59.49438951359748,001007,2025,1,1,0.00022038273,0.99903166,3.8223125e-06,0.0007441412
5,001008,2025,7.50971055060987,33367572.0,1,-4948.282122937792,32793.41056463845,-176.6744119332503,-2588.711822557202,4442.828434975263,-1598.0022179120542,-22.55844735415001,-96645.58677942769,14806.400201433957,9688.335223202834,32782.14120388438,-1770.347201921538,-56.62804851513477,001008,2025,1,1,0.00034278806,0.9953831,2.9126326e-07,0.0042738994
6,001009,2025,175.672795908004,24408.0,0,-4350.418652791646,-39.84666178636472,-58.58108382763788,-2500.901124712448,1180.1156839100595,-1164.819278613254,-19.122767009586784,-96946.03776097127,14757.361590913426,9595.97813085267,-50.14672230888385,-1830.2963227524565,-60.49741139394428,001009,2025,0,0,0.68784696,0.31215256,4.954649e-07,4.4851256e-09
7,001010,2025,89.04338262793985,845100.0,1,-4895.438123249704,-38.14320246563971,-57.998451701576926,-2707.0770722552334,-279.8595803045896,-1622.7505247613324,-22.75473225756961,-97729.25501687887,15081.6146848735,9444.009082744486,-49.34151239609776,-1966.5376777783065,-61.71397014459013,001010,2025,1,1,0.00039512914,0.9995152,2.3341737e-07,8.947453e-05
8,001011,2025,31.30755362377733,10759616.0,1,-5078.447411544032,3547.027046145012,-66.13661894970845,-2915.2062975982385,-279.8595803045896,-1626.510903251606,-22.784556743474035,-97332.55404510807,14909.42234652745,9521.890955749626,3534.3705194513354,-1911.0215623296865,-58.67262103460293,001011,2025,1,1,9.541999e-05,0.98895186,3.1044968e-07,0.010952406
9,001012,2025,38.851740615507055,1080864.0,1,-4700.402170775544,-37.86193720871189,-52.28462313401342,-2803.4058363965933,1180.1156839100595,-975.809652788656,-17.623685218808095,-96947.673189522,14750.719124864045,9596.497174781382,-49.94728364934781,-1859.23984775273,-57.6833590052872,001012,2025,1,1,0.0008415543,0.9905627,0.008595765,7.0376266e-10
10,001013,2025,55.1053966969448,4998.0,0,-4460.909002010066,-37.77897331470411,-59.94375401115372,-2833.606308436581,1180.1156839100595,-1024.3114175276914,-18.008364634069164,-96947.45612493884,14751.600755628908,9596.428283936855,-49.67127058310033,-1957.149545135414,-61.697958279949056,001013,2025,0,1,0.031513494,0.96848464,1.8848115e-06,2.1321282e-10
11,001014,2025,55.1053966969448,10614.0,1,-4432.827140900895,-37.67324248101082,-56.03216742213918,-2770.027738084194,1180.1156839100595,-974.7973786596708,-17.61565662392877,-96947.45612493884,14751.600755628908,9596.428283936855,-49.48995649585481,-1920.016025561473,-61.71811624805486,001014,2025,1,1,0.031206068,0.9687928,1.2054577e-06,3.9315878e-10
12,001015,2025,55.1053966969448,2436.0,1,-4490.425226592924,-37.78086807449486,-56.17220999832808,-2767.6649542720743,1180.1156839100595,-966.5662961901976,-17.5503738861076,-96947.45612493884,14751.600755628908,9596.428283936855,-49.60364376107652,-1904.2867306148617,-61.706433230093374,001015,2025,1,1,0.011289696,0.98870695,3.3092322e-06,2.1429428e-10
13,001016,2025,55.1053966969448,154.0,1,-4512.708068367182,-37.84065107206173,-54.14318711976502,-2761.786158957153,1180.1156839100595,-912.367825375419,-17.12051249501695,-96947.45612493884,14751.60075562891,9596.428283936855,-49.65248770950591,-1894.3248750875623,-59.73270457457485,001016,2025,1,1,0.0060902806,0.9939044,5.3264716e-06,2.691135e-10
