algo,params,k,n_clusters,acertos,erros,n,acuracia,margem_erro,ci_low,ci_high,acuracia_incl_ruido,n_incl_ruido
kmeans,{'k': 3},3,3.0,178792.0,231693.0,410485,0.43556280984688844,0.0015168360214656473,0.4340465768671735,0.4370802489101048,0.43556280984688844,410485
kmeans,{'k': 4},4,4.0,174049.0,236436.0,410485,0.4240081854391756,0.0015118221972147245,0.422497074418795,0.4255207188132245,0.4240081854391756,410485
kmeans,{'k': 5},5,5.0,141450.0,269035.0,410485,0.3445923724374825,0.001453831874634008,0.3431399949603413,0.3460476587096093,0.3445923724374825,410485
kmeans,{'k': 6},6,6.0,134617.0,275868.0,410485,0.3279462099711317,0.0014361803873825722,0.3265116397659826,0.32938400054074773,0.3279462099711317,410485
kmeans,{'k': 7},7,7.0,128909.0,281576.0,410485,0.314040707943043,0.0014198676523048512,0.31262258060897335,0.31546231591358304,0.314040707943043,410485
minibatchkmeans,{'k': 3},3,3.0,182130.0,228355.0,410485,0.4436946538850384,0.0015198619207032044,0.44217531890342765,0.44521504274483403,0.4436946538850384,410485
minibatchkmeans,{'k': 4},4,4.0,156684.0,253801.0,410485,0.3817045689854684,0.0014861656242851008,0.3802195104405524,0.3831918416891226,0.3817045689854684,410485
minibatchkmeans,{'k': 5},5,5.0,140805.0,269680.0,410485,0.3430210604528789,0.0014522511599902794,0.34157027839565846,0.344474780715639,0.3430210604528789,410485
minibatchkmeans,{'k': 6},6,6.0,140332.0,270153.0,410485,0.34186876499750296,0.0014510807546102465,0.3404191641295323,0.34332132563875284,0.34186876499750296,410485
minibatchkmeans,{'k': 7},7,7.0,120892.0,289593.0,410485,0.2945101526243346,0.0013944447958618852,0.2931176309253214,0.29590652051704514,0.2945101526243346,410485
gmm,{'k': 3},3,3.0,259680.0,150805.0,410485,0.6326175134292361,0.001474807634536326,0.6311414646807206,0.6340910799497933,0.6326175134292361,410485
gmm,{'k': 4},4,4.0,198334.0,212151.0,410485,0.4831699087664592,0.0015287245179670644,0.4816413417545482,0.4846987907904823,0.4831699087664592,410485
gmm,{'k': 5},5,5.0,141524.0,268961.0,410485,0.3447726469907548,0.001454012101864877,0.34332008759926574,0.34622811180299545,0.3447726469907548,410485
gmm,{'k': 6},6,6.0,140585.0,269900.0,410485,0.34248510907828544,0.0014517079675189077,0.3410348752292897,0.34393829116432756,0.34248510907828544,410485
gmm,{'k': 7},7,7.0,126857.0,283628.0,410485,0.30904174330365297,0.0014136445339570699,0.3076298858712309,0.3104571749391451,0.30904174330365297,410485
kmedoids,{'k': 3},3,,,,0,,,,,,0
kmedoids,{'k': 4},4,,,,0,,,,,,0
kmedoids,{'k': 5},5,,,,0,,,,,,0
kmedoids,{'k': 6},6,,,,0,,,,,,0
kmedoids,{'k': 7},7,,,,0,,,,,,0
