algo,params,k,n_clusters,silhouette,calinski,davies,dunn,estabilidade,tempo,aic,bic,ll_mean,sizes,error,score_composite,acuracia,margem_erro
kmeans,{'k': 3},3,3.0,0.5332149383281617,694361.1496059018,0.5931723359503754,0.015891356399398697,,0.9717549999986659,,,,"{0: 159295, 1: 206984, 2: 44206}",,0.5387975226048769,0.43556280984688844,0.0015168360214656473
kmeans,{'k': 4},4,4.0,0.5216668614663547,798277.566006383,0.5786548205723714,0.006031631789151383,,0.8922700000039185,,,,"{0: 164545, 1: 168176, 2: 9058, 3: 68706}",,0.38251799287671434,0.4240081854391756,0.0015118221972147245
kmeans,{'k': 5},5,5.0,0.5019639671717532,904300.462210523,0.5843656786956087,0.009519916438294538,,1.1956108000013046,,,,"{0: 136113, 1: 55512, 2: 9058, 3: 109893, 4: 99909}",,0.471567868088639,0.3445923724374825,0.001453831874634008
kmeans,{'k': 6},6,6.0,0.4878143956043399,943369.7966752322,0.581891533721444,0.013235968228185525,,1.469995100000233,,,,"{0: 105108, 1: 98183, 2: 22011, 3: 53322, 4: 2423, 5: 129438}",,0.5398043313895353,0.3279462099711317,0.0014361803873825722
kmeans,{'k': 7},7,7.0,0.48859865012683895,1053614.2171852062,0.5302195392954585,0.020830685904023958,,1.5235347999987425,,,,"{0: 104518, 1: 88106, 2: 33430, 3: 123946, 4: 2423, 5: 50562, 6: 7500}",,0.7467600827724065,0.314040707943043,0.0014198676523048512
minibatchkmeans,{'k': 3},3,3.0,0.5336137242594251,693105.5877791847,0.5924732452426116,0.022606252954467655,,0.04550980000203708,,,,"{0: 211597, 1: 43353, 2: 155535}",,0.7160846106925991,0.4436946538850384,0.0015198619207032044
minibatchkmeans,{'k': 4},4,4.0,0.5002676675507494,700490.2051721676,0.6139799416656508,0.010928399995672376,,0.04451110000081826,,,,"{0: 152285, 1: 41090, 2: 104216, 3: 112894}",,0.4508119425900818,0.3817045689854684,0.0014861656242851008
minibatchkmeans,{'k': 5},5,5.0,0.5002071826471247,902957.5298807481,0.5857100579389675,0.00760630464096476,,0.04436829999758629,,,,"{0: 135611, 1: 9058, 2: 103600, 3: 106638, 4: 55578}",,0.4822482506982573,0.3430210604528789,0.0014522511599902794
minibatchkmeans,{'k': 6},6,6.0,0.4974229836622964,926212.6092077725,0.528903527482971,0.01591586695771795,,0.047389200000907294,,,,"{0: 135132, 1: 8474, 2: 103405, 3: 106708, 4: 54343, 5: 2423}",,0.6607088498590368,0.34186876499750296,0.0014510807546102465
minibatchkmeans,{'k': 7},7,7.0,0.46974816540679715,1021888.1779735376,0.5537859220704149,0.009823542969709716,,0.04910770000424236,,,,"{0: 116409, 1: 7500, 2: 69584, 3: 84529, 4: 41943, 5: 2423, 6: 88097}",,0.5562339352662194,0.2945101526243346,0.0013944447958618852
gmm,{'k': 3},3,3.0,0.03344262828387138,5855.710722392404,5.373063349693104,0.000488808976178083,,2.0542860999994446,47975494.51588989,47976040.77062321,-58.4374514487617,"{0: 11992, 1: 290149, 2: 108344}",,-0.8730939922875414,0.6326175134292361,0.001474807634536326
gmm,{'k': 4},4,4.0,-0.0009610505616864371,12356.772259362782,11.132437549250458,0.0006060039048043233,,3.308679100002337,47447977.130638756,47448709.11198141,-57.79485624400253,"{0: 11572, 1: 227146, 2: 74518, 3: 97249}",,-1.1114791785606335,0.4831699087664592,0.0015287245179670644
gmm,{'k': 5},5,5.0,-0.07106099051489152,16132.512846883883,9.95570269198348,0.00042270821704737095,,3.526145000003453,46803043.07930521,46803960.78725719,-57.00923916745461,"{0: 7497, 1: 123618, 2: 110432, 3: 115985, 4: 52953}",,-1.0986606408155937,0.3447726469907548,0.001454012101864877
gmm,{'k': 6},6,6.0,-0.08822264600636061,14779.05212650994,6.944470446141669,0.0002714947110776339,,5.014726300003531,46473866.85481962,46474970.28938092,-56.60823763940171,"{0: 7338, 1: 59483, 2: 97517, 3: 86269, 4: 124708, 5: 35170}",,-1.0567131123772506,0.34248510907828544,0.0014517079675189077
gmm,{'k': 7},7,7.0,-0.10259579628429123,16898.265949910976,12.919976499485955,0.00015011155529056147,,8.220531999999366,46292471.35486294,46293760.51603358,-56.38724357146174,"{0: 7543, 1: 50025, 2: 89965, 3: 111856, 4: 27528, 5: 38394, 6: 85174}",,-1.4055884627973503,0.30904174330365297,0.0014136445339570699
kmedoids,{'k': 3},3,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (410485, 410485) and data type float64",0.0,,
kmedoids,{'k': 4},4,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (410485, 410485) and data type float64",0.0,,
kmedoids,{'k': 5},5,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (410485, 410485) and data type float64",0.0,,
kmedoids,{'k': 6},6,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (410485, 410485) and data type float64",0.0,,
kmedoids,{'k': 7},7,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (410485, 410485) and data type float64",0.0,,
