variavel,n,k,F,p_anova,eta2,omega2,H,p_kw,eps2_kw,levene_p
ResidencialPopularHor_pct,411853,4,5737.136636222013,0.0,0.04011418791197684,0.04010710241298368,28368.935380645886,0.0,0.06887460059547525,0.0
EnsinoSuperiorCompleto,402350,4,1116.091076124288,0.0,0.008253193227817783,0.00824577817176034,21249.033039037455,0.0,0.052805379049468505,5.073659245304025e-281
ResidencialAltoPadraoVert,411853,4,1632.191512781584,0.0,0.011749553774551764,0.011742326961572892,12565.758262135982,0.0,0.030503311315885146,0.0
cr_1_pct,411544,4,2773.6043432827373,0.0,0.01981802724051001,0.019810834831165972,12651.888791698322,0.0,0.030735502725611902,0.0
ComercioServicos,411853,4,659.1326438854837,0.0,0.004778327195992507,0.004771066250143551,10652.413386079037,0.0,0.025857567666982405,0.0
concentracaoStartups,411853,4,288.3738122399298,5.114721568062053e-187,0.0020961760012188873,0.0020889019857538117,8602.62968767237,0.0,0.020880540410860217,5.114721568062053e-187
ConcentracaoAreaVerde,411853,4,4.313932966844163,0.004764590950407706,3.142266275928833e-05,2.41386099392908e-05,92.76749347202193,5.572381010187595e-20,0.0002179621498947962,0.004764590950407706
ConcentracaoIES,411853,4,17.708381228502265,1.726967438805969e-11,0.00012897516289088077,0.00012169158383545035,1499.1397681455942,0.0,0.003632738620575974,1.726967438805969e-11
SemBaldeacao,411853,4,5513.746437664091,0.0,0.03861254948179817,0.038605456403624214,19381.359159404492,0.0,0.047052097150665634,0.0
EnsinoMedioCompleto,402350,4,2466.4271059446887,0.0,0.01805824656244068,0.018050880886694078,14247.378205394538,0.0,0.03540330512890531,0.0
2a5SalariosMinimos,402350,4,1752.972867568806,0.0,0.012901999859899385,0.01289460815663318,26666.08284690457,0.0,0.0662690392023397,0.0
cr_3_pct,411544,4,696.7506290825346,0.0,0.005053430878690639,0.005046165824570168,5169.430821586196,0.0,0.012553897121995908,0.0
EmpresaMedioPorte,402350,4,528.3840918002742,0.0,0.003924313008470471,0.003916876303330544,17338.3817844915,0.0,0.04308575649936,5.2843878507664444e-105
ResidencialAltoPadraoHor_pct,411853,4,2130.9521139484827,0.0,0.015285070695125063,0.015277861283117245,8268.867313540713,0.0,0.02007014054554148,0.0
DeslocamentoCaminhada,411853,4,8068.063105706568,0.0,0.055507424117284015,0.05550041694363685,37382.28360772948,0.0,0.09075968038705806,0.0
NaoMapeado,411853,4,2653.783775729402,0.0,0.018964161560140656,0.018956970320189625,18559.32188314466,0.0,0.045056129511409915,0.0
Maisde65anos,402350,4,5090.454761686408,0.0,0.03656783838766634,0.036560567232712254,21749.741887982585,0.0,0.05404985233600579,0.0
EmpresaPequenoPorte,402350,4,1610.482636659999,0.0,0.011865706057100066,0.011858309138816407,17639.79283362017,0.0,0.04383489045155207,0.0
AreaOcupada,411853,4,2.4546598153327404,0.0611599050572247,1.7879970033353003e-05,1.0595851446803336e-05,2260.641635069454,0.0,0.005481721784123438,0.05494533801842008
Masculino,402350,4,1168.050763035746,0.0,0.008634103669403224,0.0086266905227688,16811.95107281947,0.0,0.041777353503749184,1.6442923027399524e-292
DistanciaTransportePublico,410461,4,7383.887841024277,0.0,0.05120485415773785,0.051197801137171206,33021.40872315696,0.0,0.08044303964399914,0.0
18a29anos,402350,4,970.225951253766,0.0,0.007182306949699739,0.007174886529381299,16337.1182600446,0.0,0.04059719311250665,1.3153035979909342e-302
DeslocamentoBicicleta,411853,4,433.5743491279174,2.853289710452334e-281,0.0031483091354621903,0.0031410402426789844,2877.71053536872,0.0,0.006980010963651046,1.816562308507006e-309
Maisde10SalariosMinimos,402350,4,344.9534093567446,9.565299219667512e-224,0.0025654668580088985,0.0025580233763779683,6648.418702066445,0.0,0.016516676447799767,7.960964796698528e-72
MestradoDoutoradoCompleto,402350,4,3448.1065494714244,0.0,0.025065573762977942,0.02505824367041302,30101.596989460388,0.0,0.07480774504893895,0.0
