variavel,cluster_a,cluster_b,n_a,n_b,U,p_raw,p_adj,significativo
ResidencialPopularHor_pct,1,0,35757,357524,3577207727.0,0.0,0.0,True
ResidencialPopularHor_pct,1,3,35757,12724,219505226.0,2.6783906112956353e-11,2.6783906112956353e-11,True
ResidencialPopularHor_pct,1,2,35757,5848,121279230.5,1.4673925556950672e-112,1.7608710668340806e-112,True
ResidencialPopularHor_pct,0,3,357524,12724,3096334381.5,0.0,0.0,True
ResidencialPopularHor_pct,0,2,357524,5848,1643974002.5,0.0,0.0,True
ResidencialPopularHor_pct,3,2,12724,5848,43822798.0,3.1352257382279573e-115,4.702838607341936e-115,True
EnsinoSuperiorCompleto,1,0,35757,357524,8756222889.5,0.0,0.0,True
EnsinoSuperiorCompleto,1,3,35757,3221,34709947.5,3.298642010311508e-306,4.947963015467262e-306,True
EnsinoSuperiorCompleto,1,2,35757,5848,88915182.5,2.3886642520088413e-75,2.3886642520088413e-75,True
EnsinoSuperiorCompleto,0,3,357524,3221,187586935.5,0.0,0.0,True
EnsinoSuperiorCompleto,0,2,357524,5848,512711928.5,0.0,0.0,True
EnsinoSuperiorCompleto,3,2,3221,5848,12104723.0,2.2943333281206173e-112,2.7531999937447404e-112,True
ResidencialAltoPadraoVert,1,0,35757,357524,6842159651.0,0.0,0.0,True
ResidencialAltoPadraoVert,1,3,35757,12724,232817971.5,4.385872831378296e-17,4.385872831378296e-17,True
ResidencialAltoPadraoVert,1,2,35757,5848,95919165.5,5.514313655369893e-87,6.617176386443871e-87,True
ResidencialAltoPadraoVert,0,3,357524,12724,2167581618.5,0.0,0.0,True
ResidencialAltoPadraoVert,0,2,357524,5848,885765310.5,0.0,0.0,True
ResidencialAltoPadraoVert,3,2,12724,5848,33263808.0,2.9259386206261387e-115,4.388907930939208e-115,True
cr_1_pct,1,0,35757,357523,7255877919.5,0.0,0.0,True
cr_1_pct,1,3,35757,12416,241902068.5,4.873697233928667e-121,7.310545850893002e-121,True
cr_1_pct,1,2,35757,5848,98556700.5,1.3183118394455576e-24,1.3183118394455576e-24,True
cr_1_pct,0,3,357523,12416,2129241549.0,2.775151860500192e-88,3.3301822326002304e-88,True
cr_1_pct,0,2,357523,5848,842576202.5,0.0,0.0,True
cr_1_pct,3,2,12416,5848,31007477.5,5.344789034023204e-155,1.0689578068046408e-154,True
ComercioServicos,1,0,35757,357524,8157346193.0,0.0,0.0,True
ComercioServicos,1,3,35757,12724,245664571.5,8.203828021546136e-42,9.844593625855363e-42,True
ComercioServicos,1,2,35757,5848,94913001.5,4.0645264697918036e-30,4.0645264697918036e-30,True
ComercioServicos,0,3,357524,12724,1921098503.5,1.434499431028534e-207,2.868998862057068e-207,True
ComercioServicos,0,2,357524,5848,652017113.0,0.0,0.0,True
ComercioServicos,3,2,12724,5848,31153802.0,5.4076884172397134e-73,8.111532625859571e-73,True
concentracaoStartups,1,0,35757,357524,6391577277.0,0.7993448079735345,0.7993448079735345,False
concentracaoStartups,1,3,35757,12724,215934226.0,0.0,0.0,True
concentracaoStartups,1,2,35757,5848,104483587.5,0.3077931430370615,0.3872483916677685,False
concentracaoStartups,0,3,357524,12724,2159082431.0,0.0,0.0,True
concentracaoStartups,0,2,357524,5848,1044769414.5,0.32270699305647377,0.3872483916677685,False
concentracaoStartups,3,2,12724,5848,39067904.0,4.4250733048933766e-63,8.850146609786753e-63,True
ConcentracaoAreaVerde,1,0,35757,357524,6376645867.0,2.573438499335084e-09,7.720315498005253e-09,True
ConcentracaoAreaVerde,1,3,35757,12724,228037658.0,2.5030601402319943e-06,5.006120280463989e-06,True
ConcentracaoAreaVerde,1,2,35757,5848,104559784.0,0.9388397043283779,0.9388397043283779,False
ConcentracaoAreaVerde,0,3,357524,12724,2285533292.5,2.520067689057298e-13,1.5120406134343787e-12,True
ConcentracaoAreaVerde,0,2,357524,5848,1047974579.0,0.011451933613709081,0.013742320336450897,True
ConcentracaoAreaVerde,3,2,12724,5848,37116818.0,8.272329511230294e-05,0.00012408494266845442,True
ConcentracaoIES,1,0,35757,357524,6468676366.5,5.335775558286429e-202,3.2014653349718572e-201,True
ConcentracaoIES,1,3,35757,12724,226170796.0,1.9791411896355857e-05,1.9791411896355857e-05,True
ConcentracaoIES,1,2,35757,5848,106228920.0,1.8909333912313942e-22,2.8364000868470914e-22,True
ConcentracaoIES,0,3,357524,12724,2234196249.5,1.3850071848781854e-184,4.1550215546345565e-184,True
ConcentracaoIES,0,2,357524,5848,1049604888.0,1.1769462392958392e-06,1.412335487155007e-06,True
ConcentracaoIES,3,2,12724,5848,38014924.0,6.067212807591356e-30,1.2134425615182712e-29,True
SemBaldeacao,1,0,35757,357524,4755437212.0,0.0,0.0,True
SemBaldeacao,1,3,35757,12724,300628707.0,0.0,0.0,True
SemBaldeacao,1,2,35757,5848,110983698.5,4.288618661163396e-14,4.288618661163396e-14,True
SemBaldeacao,0,3,357524,12724,3614822886.0,0.0,0.0,True
SemBaldeacao,0,2,357524,5848,1361994392.5,0.0,0.0,True
SemBaldeacao,3,2,12724,5848,28587275.5,2.8407520442608177e-142,3.4089024531129814e-142,True
EnsinoMedioCompleto,1,0,35757,357524,8398670004.0,0.0,0.0,True
EnsinoMedioCompleto,1,3,35757,3221,42104731.0,2.2039183326986708e-141,3.3058774990480067e-141,True
EnsinoMedioCompleto,1,2,35757,5848,96115023.0,3.7097836014920215e-23,3.7097836014920215e-23,True
EnsinoMedioCompleto,0,3,357524,3221,269947191.5,0.0,0.0,True
EnsinoMedioCompleto,0,2,357524,5848,644173928.0,0.0,0.0,True
EnsinoMedioCompleto,3,2,3221,5848,11275628.0,1.044575359392647e-54,1.2534904312711764e-54,True
2a5SalariosMinimos,1,0,35757,357524,9091004267.5,0.0,0.0,True
2a5SalariosMinimos,1,3,35757,3221,33357853.5,0.0,0.0,True
2a5SalariosMinimos,1,2,35757,5848,85835222.0,4.0173269278935314e-107,4.820792313472237e-107,True
2a5SalariosMinimos,0,3,357524,3221,159248107.5,0.0,0.0,True
2a5SalariosMinimos,0,2,357524,5848,454665877.0,0.0,0.0,True
2a5SalariosMinimos,3,2,3221,5848,11923311.0,5.903694699791558e-98,5.903694699791558e-98,True
cr_3_pct,1,0,35757,357523,6506064992.0,1.2361966135976377e-08,1.8542949203964567e-08,True
cr_3_pct,1,3,35757,12416,292761930.5,0.0,0.0,True
cr_3_pct,1,2,35757,5848,105453162.0,0.26989748688964743,0.3238769842675769,False
cr_3_pct,0,3,357523,12416,3050497723.0,0.0,0.0,True
cr_3_pct,0,2,357523,5848,1038386297.5,0.3685672246894296,0.3685672246894296,False
cr_3_pct,3,2,12416,5848,25568769.5,0.0,0.0,True
EmpresaMedioPorte,1,0,35757,357524,8443382752.0,0.0,0.0,True
EmpresaMedioPorte,1,3,35757,3221,34043570.5,0.0,0.0,True
EmpresaMedioPorte,1,2,35757,5848,87096117.5,1.9881804115888383e-93,1.9881804115888383e-93,True
EmpresaMedioPorte,0,3,357524,3221,196135011.5,0.0,0.0,True
EmpresaMedioPorte,0,2,357524,5848,543397616.0,0.0,0.0,True
EmpresaMedioPorte,3,2,3221,5848,11954066.5,2.505872318174056e-100,3.007046781808867e-100,True
ResidencialAltoPadraoHor_pct,1,0,35757,357524,7567807833.0,0.0,0.0,True
ResidencialAltoPadraoHor_pct,1,3,35757,12724,255783205.5,2.588707883574727e-135,3.8830618253620906e-135,True
ResidencialAltoPadraoHor_pct,1,2,35757,5848,97653006.0,1.7191804863413452e-20,1.7191804863413452e-20,True
ResidencialAltoPadraoHor_pct,0,3,357524,12724,2146897939.0,1.1182861128424083e-53,1.34194333541089e-53,True
ResidencialAltoPadraoHor_pct,0,2,357524,5848,779300921.0,0.0,0.0,True
ResidencialAltoPadraoHor_pct,3,2,12724,5848,30054880.0,2.705705318767842e-146,5.411410637535684e-146,True
DeslocamentoCaminhada,1,0,35757,357524,3339447514.5,0.0,0.0,True
DeslocamentoCaminhada,1,3,35757,12724,255155552.0,1.4036909860045989e-92,2.1055364790068984e-92,True
DeslocamentoCaminhada,1,2,35757,5848,115183408.0,9.100823965175167e-36,1.0920988758210199e-35,True
DeslocamentoCaminhada,0,3,357524,12724,3604733953.0,0.0,0.0,True
DeslocamentoCaminhada,0,2,357524,5848,1629159953.0,0.0,0.0,True
DeslocamentoCaminhada,3,2,12724,5848,36512036.5,0.041152259373354344,0.041152259373354344,True
NaoMapeado,1,0,35757,357524,7287570723.5,0.0,0.0,True
NaoMapeado,1,3,35757,12724,103109737.0,0.0,0.0,True
NaoMapeado,1,2,35757,5848,100932640.5,1.2698910134695786e-05,1.2698910134695786e-05,True
NaoMapeado,0,3,357524,12724,850531771.0,0.0,0.0,True
NaoMapeado,0,2,357524,5848,847399365.0,2.0029283700457189e-156,2.4035140440548625e-156,True
NaoMapeado,3,2,12724,5848,58614938.5,0.0,0.0,True
Maisde65anos,1,0,35757,357524,8698602661.5,0.0,0.0,True
Maisde65anos,1,3,35757,3221,33386553.5,0.0,0.0,True
Maisde65anos,1,2,35757,5848,85943463.5,3.433355162791445e-106,4.120026195349734e-106,True
Maisde65anos,0,3,357524,3221,160139567.5,0.0,0.0,True
Maisde65anos,0,2,357524,5848,501285470.0,0.0,0.0,True
Maisde65anos,3,2,3221,5848,11732933.0,6.029644902440799e-84,6.029644902440799e-84,True
EmpresaPequenoPorte,1,0,35757,357524,8556396766.0,0.0,0.0,True
EmpresaPequenoPorte,1,3,35757,3221,35196282.5,1.9346062764754815e-293,2.9019094147132223e-293,True
EmpresaPequenoPorte,1,2,35757,5848,91724438.5,2.602782321196783e-51,2.602782321196783e-51,True
EmpresaPequenoPorte,0,3,357524,3221,208454602.0,0.0,0.0,True
EmpresaPequenoPorte,0,2,357524,5848,582471425.0,0.0,0.0,True
EmpresaPequenoPorte,3,2,3221,5848,11897194.0,5.710604497803978e-96,6.852725397364774e-96,True
AreaOcupada,1,0,35757,357524,7195419704.5,0.0,0.0,True
AreaOcupada,1,3,35757,12724,267267536.5,3.02110749882199e-189,9.06332249646597e-189,True
AreaOcupada,1,2,35757,5848,96904578.5,2.632027870008497e-19,2.632027870008497e-19,True
AreaOcupada,0,3,357524,12724,2392304842.5,2.8478237348532336e-23,3.41738848182388e-23,True
AreaOcupada,0,2,357524,5848,844931907.0,4.606423366492758e-140,6.909635049739137e-140,True
AreaOcupada,3,2,12724,5848,28274981.5,1.320539604266186e-152,2.641079208532372e-152,True
Masculino,1,0,35757,357524,8402856025.0,0.0,0.0,True
Masculino,1,3,35757,3221,34592355.5,2.47317402149465e-309,3.709761032241973e-309,True
Masculino,1,2,35757,5848,89267116.0,4.469698366688347e-72,4.469698366688347e-72,True
Masculino,0,3,357524,3221,194637121.5,0.0,0.0,True
Masculino,0,2,357524,5848,554583431.0,0.0,0.0,True
Masculino,3,2,3221,5848,12198999.5,3.0062276467264317e-120,3.6074731760717176e-120,True
DistanciaTransportePublico,1,0,35438,356806,3385891852.0,0.0,0.0,True
DistanciaTransportePublico,1,3,35438,12407,230759020.5,1.6236398024761936e-16,1.6236398024761936e-16,True
DistanciaTransportePublico,1,2,35438,5810,123760468.0,3.98340762847581e-135,5.975111442713715e-135,True
DistanciaTransportePublico,0,3,356806,12407,3224948045.0,0.0,0.0,True
DistanciaTransportePublico,0,2,356806,5810,1702958720.0,0.0,0.0,True
DistanciaTransportePublico,3,2,12407,5810,40478665.0,5.253391992382962e-41,6.304070390859554e-41,True
18a29anos,1,0,35757,357524,8417474260.0,0.0,0.0,True
18a29anos,1,3,35757,3221,35649480.5,9.621866002528787e-282,1.443279900379318e-281,True
18a29anos,1,2,35757,5848,90865535.5,3.716626399144589e-58,3.716626399144589e-58,True
18a29anos,0,3,357524,3221,213227807.0,0.0,0.0,True
18a29anos,0,2,357524,5848,571551648.5,0.0,0.0,True
18a29anos,3,2,3221,5848,12105791.0,1.8701159024237066e-112,2.2441390829084476e-112,True
DeslocamentoBicicleta,1,0,35757,357524,6592208909.5,1.0801542438579264e-23,1.0801542438579264e-23,True
DeslocamentoBicicleta,1,3,35757,12724,295786574.5,0.0,0.0,True
DeslocamentoBicicleta,1,2,35757,5848,93171680.5,1.3414777463076773e-41,1.6097732955692128e-41,True
DeslocamentoBicicleta,0,3,357524,12724,2830326489.0,0.0,0.0,True
DeslocamentoBicicleta,0,2,357524,5848,908575978.5,8.519877522982593e-70,1.277981628447389e-69,True
DeslocamentoBicicleta,3,2,12724,5848,22555006.5,0.0,0.0,True
Maisde10SalariosMinimos,1,0,35757,357524,7501704520.0,0.0,0.0,True
Maisde10SalariosMinimos,1,3,35757,3221,38625810.5,5.007878214724221e-211,7.5118173220863315e-211,True
Maisde10SalariosMinimos,1,2,35757,5848,92920701.5,1.682433786753746e-42,1.682433786753746e-42,True
Maisde10SalariosMinimos,0,3,357524,3221,280610992.5,0.0,0.0,True
Maisde10SalariosMinimos,0,2,357524,5848,732249511.0,0.0,0.0,True
Maisde10SalariosMinimos,3,2,3221,5848,11597440.5,1.3509027349734459e-74,1.621083281968135e-74,True
MestradoDoutoradoCompleto,1,0,35757,357524,9022088720.0,0.0,0.0,True
MestradoDoutoradoCompleto,1,3,35757,3221,37429742.0,7.426618706630885e-242,1.113992805994633e-241,True
MestradoDoutoradoCompleto,1,2,35757,5848,87231080.5,1.8652323242654645e-93,2.2382787891185575e-93,True
MestradoDoutoradoCompleto,0,3,357524,3221,178991158.0,0.0,0.0,True
MestradoDoutoradoCompleto,0,2,357524,5848,479729544.5,0.0,0.0,True
MestradoDoutoradoCompleto,3,2,3221,5848,11205241.0,6.145102783621004e-51,6.145102783621004e-51,True
5a10SalariosMinimos,1,0,35757,357524,8571257221.0,0.0,0.0,True
5a10SalariosMinimos,1,3,35757,3221,35555682.0,3.7866243937763306e-284,5.679936590664496e-284,True
5a10SalariosMinimos,1,2,35757,5848,91261525.5,6.0478285504958336e-55,6.0478285504958336e-55,True
5a10SalariosMinimos,0,3,357524,3221,178724067.0,0.0,0.0,True
5a10SalariosMinimos,0,2,357524,5848,528036822.0,0.0,0.0,True
