variavel,cluster,n,missings,media,mediana,desvio_padrao,p25,p75,minimo,maximo,coef_var,shapiro_p
18a29anos,__GERAL__,402350,9503,422.2775891636635,81.0,1239.832718552012,27.0,342.0,0.0,15133.0,2.936060900147571,0.0
1Baldeacao,__GERAL__,411853,0,8882.670243381925,7204.95957,6748.6837388236245,4729.87338,11163.672867,0.0,58818.88557,0.7597584458177723,0.0
2a5SalariosMinimos,__GERAL__,402350,9503,352.4969181061265,69.5,1007.6868021998666,24.0,257.0,0.0,12151.0,2.8587109572869562,0.0
30a39anos,__GERAL__,402350,9503,542.3500571641606,114.0,1484.9647289079658,38.0,486.0,0.0,17944.0,2.738018940520718,0.0
40a49anos,__GERAL__,402350,9503,292.1502050453585,69.0,646.3649447408835,25.0,291.0,0.0,6863.0,2.212440496629227,0.0
50a64anos,__GERAL__,402350,9503,166.04648191872747,32.0,390.096618999559,11.0,141.0,0.0,3809.0,2.349321795269919,0.0
5a10SalariosMinimos,__GERAL__,402350,9503,435.429346340251,65.0,1258.410355989633,21.0,323.0,0.0,14255.0,2.890044886883422,0.0
AreaConstruida,__GERAL__,411853,0,2605.384101851874,128.0,22667.55219349945,92.0,719.0,0.0,7878330.0,8.700272707347695,0.0
AreaOcupada,__GERAL__,411853,0,50808.26501611118,5315.0,1045593.8995293245,2629.0,15894.0,0.0,427994733.9423792,20.57920889835087,0.0
AreadaQuadra,__GERAL__,411853,0,439477.9832839556,13088.0,5606283.567966991,6452.0,43200.0,43.0,1243596224.0,12.756688119105748,0.0
Ate2SalariosMinimos,__GERAL__,402350,9503,110.66749099043122,20.0,283.20425588133236,3.0,94.0,0.0,3199.0,2.5590555396780377,0.0
Brasileira,__GERAL__,402350,9503,1423.291150739406,292.0,3597.3270899741415,107.0,1343.0,3.0,41891.0,2.5274709872996217,0.0
CA,__GERAL__,411853,0,0.1668450200816843,0.0129210435468757,0.37614225644633237,0.0027099053778895,0.0645906280265216,0.0,14.53622828784119,2.254441015153943,0.0
Caminhada,__GERAL__,411853,0,31786.19541381175,25034.123425,25344.725792329933,15375.97265,42789.96183,0.0,213117.04474,0.7973500905779095,0.0
ComercioServicos,__GERAL__,411853,0,8.691853646810877,1.0,84.72404391093714,0.0,4.0,0.0,4042.0,9.747523066270587,0.0
ComercioServicos_pct,__GERAL__,411853,0,0.08590829737794795,0.03,0.1689088138864522,0.0,0.09,0.0,1.0,1.9661525026313689,0.0
ConcentracaoAreaVerde,__GERAL__,411853,0,1.4368451850538906,0.0,59.450736118352935,0.0,0.0,0.0,13272.0,41.375881505371204,0.0
ConcentracaoBOs,__GERAL__,411853,0,552282.290496852,1682.0,24075292.143238217,361.0,9576.0,0.0,5448059232.0,43.592366725319515,0.0
ConcentracaoIES,__GERAL__,411853,0,9.74742687318048,0.0,676.767845624809,0.0,0.0,0.0,140640.0,69.43041014104956,0.0
ConcentracaoPatrimonioHistorico,__GERAL__,411853,0,59.12462699069814,0.0,4371.2341865923145,0.0,0.0,0.0,1245024.0,73.93254569335421,0.0
DeslocamentoBicicleta,__GERAL__,411853,0,602.1349843348842,169.94125,1107.443674664457,0.0,715.86592,0.0,7707.1748,1.839195036786867,0.0
DeslocamentoCaminhada,__GERAL__,411853,0,29355.16376850484,22762.88918,26007.770574770417,11395.44483168534,39859.41449,0.0,213117.04474,0.885969186882008,0.0
DeslocamentoTansporteColetivo,__GERAL__,411853,0,31713.94642628809,27751.914537832472,20254.279770540354,18265.87506,39875.617228,0.0,136319.80418,0.6386552937401485,0.0
DeslocamentoVeiculoIndividual,__GERAL__,411853,0,23618.785152771026,21260.90578,13471.660839787686,13239.270252,31510.918943,77.559743,78098.4889,0.5703790754964868,1.9997521205227882e-38
DestinoMotivoEducacao,__GERAL__,411853,0,15496.018668525627,13018.988412,11936.758361937069,6981.995704,21406.12581,0.0,85235.99185,0.7703113049406771,0.0
DestinoMotivoOutros,__GERAL__,411853,0,11381.520396963246,10051.29652,7684.479637856585,6046.656305,14697.85765,0.0,55289.33648,0.6751716264469302,0.0
DestinoMotivoResidencia,__GERAL__,411853,0,43935.22076346931,36752.09929,33165.038276314524,19459.59907,57487.23631,0.0,216801.5237,0.7548622198773646,0.0
DestinoMotivoTrabalhoComercioServico,__GERAL__,411853,0,14648.389523736792,12281.658697,10619.707383173978,7929.62636,19155.79716,0.0,123277.516297,0.7249743984460142,0.0
