variavel,n,k,F,p_anova,eta2,omega2,H,p_kw,eps2_kw,levene_p
Unnamed: 0,411853,4,17041.63683821677,0.0,0.11042719547159564,0.11042047712223192,45479.661309367744,0.0,0.11042071562482304,0.0
ResidencialPopularHor_pct,411853,4,6608.973810199932,0.0,0.045930107393741565,0.04592305135262336,28383.086205440195,0.0,0.06890895985043109,0.0
EnsinoSuperiorCompleto,402350,4,6626.309378004729,0.0,0.047081370164161924,0.04707415345583795,21274.590411580317,0.0,0.05286889993085632,0.0
ResidencialAltoPadraoVert,411853,4,,,,,,,,
cr_1_pct,411544,4,,,,,,,,
ComercioServicos,411853,4,4769.334241694696,0.0,0.03357448694633853,0.03356736851968093,10223.896938895477,0.0,0.02481709786571165,0.0
concentracaoStartups,411853,4,,,,,,,,
ConcentracaoAreaVerde,411853,4,,,,,,,,
ConcentracaoIES,411853,4,,,,,,,,
SemBaldeacao,411853,4,5664.724393889326,0.0,0.03962794383686936,0.039620855882470246,19383.48970779718,0.0,0.04705727028060571,0.0
EnsinoMedioCompleto,402350,4,3639.906253030326,0.0,0.02642299678734426,0.02641567361598927,13946.918741834465,0.0,0.03465653626936633,0.0
2a5SalariosMinimos,402350,4,12092.15818426647,0.0,0.08270546234500487,0.08269843420893558,27285.19995605261,0.0,0.06780780710148133,0.0
cr_3_pct,411544,4,903.3114742657592,0.0,0.006541786003112383,0.00653452822398343,5183.919722681431,0.0,0.012589103665941175,0.0
EmpresaMedioPorte,402350,4,6192.819614156845,0.0,0.04413727558992588,0.044130043579574306,17380.189264681547,0.0,0.04318966577195137,0.0
ResidencialAltoPadraoHor_pct,411853,4,,,,,,,,
DeslocamentoCaminhada,411853,4,10236.80217575755,0.0,0.06939273253336697,0.06938579699939858,37376.869130032515,0.0,0.09074653363255104,0.0
NaoMapeado,411853,4,10485.019748745772,0.0,0.07095594680482119,0.07094901939471668,21382.35752316605,0.0,0.05191066998624751,0.0
Maisde65anos,402350,4,8251.391208891271,0.0,0.05795870654061433,0.05795154674126146,21185.01792921274,0.0,0.0526462744235378,0.0
EmpresaPequenoPorte,402350,4,6668.64563020806,0.0,0.04736792978365122,0.04736071456703117,17726.66477108364,0.0,0.04405080396246922,0.0
AreaOcupada,411853,4,207.56664453770478,1.5275463864153376e-134,0.0015096791700214517,0.0015024023013228613,2360.308090440503,0.0,0.005723719349665783,5.345166489137171e-15
Masculino,402350,4,6066.298349120862,0.0,0.04327455941490621,0.04326732292872181,16575.507323564325,0.0,0.04118969077252992,0.0
DistanciaTransportePublico,410461,4,8678.148552161618,0.0,0.05964480155465347,0.05963779193780443,33016.87345491735,0.0,0.08043199033008903,0.0
18a29anos,402350,4,5477.6619619066605,0.0,0.03924023515880129,0.03923297779135874,16353.845423272744,0.0,0.0406387671886206,0.0
DeslocamentoBicicleta,411853,4,584.7192851659278,0.0,0.004241161659869726,0.004233898093716918,2898.886815441391,0.0,0.007031428546485218,0.0
Maisde10SalariosMinimos,402350,4,1579.5856149952,0.0,0.01164071305865692,0.011633315008829779,6532.410183290424,0.0,0.016228346207717795,1.262979946e-315
MestradoDoutoradoCompleto,402350,4,10485.197761603415,0.0,0.07251147476574211,0.07250439202460059,28629.828221612614,0.0,0.07114977711127392,0.0
5a10SalariosMinimos,402350,4,7757.9647304849605,0.0,0.05468234570112853,0.05467516869833711,19398.663966190506,0.0,0.048206429208170344,0.0
DistanciaPatrimonioHistorico,411853,4,13975.359434072083,0.0,0.0923939641178207,0.09238714931617738,57380.144923338434,0.0,0.13931597484354322,0.0
OrigemMotivoTrabalhoComercioServico,411853,4,7873.108353142649,0.0,0.05423890487604269,0.05423189120428875,26489.703620968907,0.0,0.0643116861300353,0.0
TO,411853,4,4750.515862042436,0.0,0.03344644278648024,0.033439323717188024,13986.401071870428,0.0,0.03395273770695189,6.536157041621785e-308
DestinoMotivoEducacao,411853,4,10287.428768640631,0.0,0.06971199348325506,0.06970505960748871,38467.50649360785,0.0,0.09339468225880808,0.0
OrigemMotivotrabalhoindustria,411853,4,8929.5795770652,0.0,0.06107258077858225,0.06106560220530431,32867.62446114917,0.0,0.07979775223722571,0.0
ResidencialAltoPadraoVert_pct,411853,4,,,,,,,,
NumerodePavimentos,411853,4,9353.4578450838,0.0,0.06378671431742708,0.06377974974714497,20339.219480994743,0.0,0.04937785324474442,0.0
TempoMediodeViagem,411853,4,4908.4324644063145,0.0,0.03451988899285478,0.034512775313493754,14851.666687859968,0.0,0.03605366696983595,0.0
ComercioServicos_pct,411853,4,3224.885889042959,0.0,0.022951636263245787,0.0229444647927724,7780.853364609418,0.0,0.01888520638537284,0.0
Estrangeira,402350,4,1895.6871779173348,0.0,0.013937746888389283,0.013930360402722965,8114.25127987886,0.0,0.020159890442253334,0.0
Numero_Viagens,411853,4,3689.6346775868315,0.0,0.026172701432623822,0.026165545988228747,11444.547301524686,0.0,0.027780927722356217,3.190643509e-314
DistanciaAreasVerdes,411853,4,7697.571143984628,0.0,0.05309381169660268,0.05308679216571411,23777.418337229068,0.0,0.057726055756427884,0.0
EmpresaGrandePorte,402350,4,5422.719748816094,0.0,0.03886194216586645,0.0388546828445661,14309.95518248523,0.0,0.035558835386670255,0.0
Ate2SalariosMinimos,402350,4,9696.953392934496,0.0,0.06742785066335581,0.0674207408843267,26815.784061106093,0.0,0.06664111004236675,0.0
ResidencialPopularVert,411853,4,,,,,,,,
DestinoMotivoResidencia,411853,4,12270.048860967694,0.0,0.08204479249617017,0.08203792305430872,43106.57869496286,0.0,0.10465869455786675,0.0
Brasileira,402350,4,5855.325793708264,0.0,0.041832522831758576,0.04182527887244633,17140.861927038102,0.0,0.0425948361038462,0.0
cr_4_pct,411544,4,4325.540385082128,0.0,0.03056799312105335,0.030560854270173913,7563.857381301857,0.0,0.018372108133600275,0.0
Terreno_pct,411853,4,2914.2924995991243,0.0,0.020787081174249194,0.020779898962559974,11386.738072112703,0.0,0.02764056261424139,0.0
ResidencialPopularHor,411853,4,6006.773764686,0.0,0.04192046373491015,0.041913387367194,26694.961137823782,0.0,0.06481006664535736,0.0
30a39anos,402350,4,5765.298832070137,0.0,0.041215847704011606,0.041208600552032876,16304.115609249073,0.0,0.040515167565351895,0.0
DestinoMotivoOutros,411853,4,125.88918872467977,1.6578706566336013e-81,0.0009161648090450454,0.0009088850546740526,314.59144425923245,6.910720803250699e-68,0.0007565671988015813,3.137443145670833e-87
CA,411853,4,12188.172745678803,0.0,0.08154196238505904,0.08153509030166954,24607.71440504623,0.0,0.05974207635576687,0.0
ResidencialMedioPadraoVert,411853,4,,,,,,,,
ValorTerrenoM2,411853,4,50700.22508930994,0.0,0.269706113751493,0.26970031589317467,77035.48039992801,0.0,0.18704059109024912,0.0
OutrosUsos_pct,411853,4,757.4381466753152,0.0,0.005487074344624268,0.005479816858201667,3216.243945989226,0.0,0.007801995260372676,0.0
densidade_hec,410485,4,2098.61839735844,0.0,0.015106057626865626,0.015098823302824495,8508.72249079967,0.0,0.020721354924587664,1.5505852352933976e-79
50a64anos,402350,4,6857.528271706852,0.0,0.04864431489600744,0.0486371063286477,17384.144597039285,0.0,0.04319949644594276,0.0
cr_5_pct,411544,4,,,,,,,,
Maisde2Baldeacoes,411853,4,1036.8761979452156,0.0,0.007496219823544194,0.007488972157108911,6383.377456732999,0.0,0.015492030954871809,6.436084951110537e-26
ResidencialPopularVert_pct,411853,4,,,,,,,,
cont_aceleradora,411853,4,,,,,,,,
FracaoIdeal,411853,4,,,,,,,,
AreaConstruida,411853,4,12937.175454248383,0.0,0.08612142420369212,0.08611457622301555,36537.691174015294,0.0,0.08870894714814238,0.0
ConcentracaoPatrimonioHistorico,411853,4,,,,,,,,
AreadaQuadra,411853,4,245.41416743864488,4.0304417352691243e-159,0.001784461552358606,0.0017771860202338637,741.5292716229214,2.0727803711825354e-160,0.001793203993752374,4.108231271511568e-205
ConcentracaoBOs,411853,4,1048.166413915382,0.0,0.00757722529989411,0.0075699780297958435,18494.117216668015,0.0,0.044897807732125164,0.0
Terreno,411853,4,2965.385549592606,0.0,0.021143812372400032,0.021136631929359422,9895.308822898003,0.0,0.02401926148393708,0.0
DeslocamentoTansporteColetivo,411853,4,5335.834321862411,0.0,0.03741325153324765,0.037406152409753306,17563.62167404453,0.0,0.042638495356415895,1.375266553277448e-21
Feminino,402350,4,5395.058461553842,0.0,0.038671373452135636,0.03866411314683017,17215.904069421817,0.0,0.04278134757005616,0.0
40a49anos,402350,4,4961.414553308395,0.0,0.03567393276518322,0.035666657006287183,14851.533571213662,0.0,0.03690488676714485,0.0
OutrosUsos,411853,4,773.0478118577184,0.0,0.005599521528468099,0.005592264591129415,2786.0612242063285,0.0,0.006757479620458781,0.0
OrigemMotivoEducacao,411853,4,12793.024183551563,0.0,0.08524362404420417,0.08523677143558303,48445.20568223222,0.0,0.11762127790095937,0.0
DistanciaStartup,411852,4,27999.416877786647,0.0,0.1694038233143164,0.16939743141878955,136048.88194320365,0.0,0.33033032075718144,0.0
DestinoMotivotrabalhoindustria,411853,4,1206.897878674986,0.0,0.008714699751835309,0.008707458050444964,5217.834636820542,0.0,0.012662006310129544,0.0
ResidencialAltoPadraoHor,411853,4,,,,,,,,
ValorConstrucaoM2,411853,4,33113.42929124705,0.0,0.19433170888016976,0.19432546006874932,52604.05060207462,0.0,0.12771926264741354,0.0
1Baldeacao,411853,4,2406.040640779695,0.0,0.017224262044772717,0.017217062202779954,9890.629796182284,0.0,0.024007900459105846,0.0
ResidencialMedioPadraoHor,411853,4,635.0368174567961,0.0,0.004604450818113858,0.0045971890239392,2661.5173646259063,0.0,0.006455077867436624,9.786140127185961e-34
UsoTotal,411853,4,1202.777305831883,0.0,0.008685204569243746,0.008677962723375154,1849.6818338090259,0.0,0.004483880824790216,0.0
OrigemMotivoOutros,411853,4,3125.853231452695,0.0,0.02226250809341757,0.022255333200800653,10049.348001190241,0.0,0.024393280064271713,0.0
ResidencialMedioPadraoVert_pct,411853,4,,,,,,,,
Caminhada,411853,4,9381.033116299981,0.0,0.06396273794585422,0.0639557742849639,33089.43191160511,0.0,0.08033631722210109,0.0
DestinoMotivoTrabalhoComercioServico,411853,4,1066.6008306726258,0.0,0.007709460846063796,0.0077022142230253375,3289.872110712914,0.0,0.00798076991983206,0.0
DistanciaAceleradoraIncubadora,411852,4,16005.903701316825,0.0,0.10441681113531924,0.10441006044705202,62375.54309119652,0.0,0.15144554080922215,0.0
DeslocamentoVeiculoIndividual,411853,4,3359.640161718927,0.0,0.023887777972994687,0.023880611155004356,13049.530202511089,0.0,0.031677945563813655,0.0
cr_2_pct,411544,4,5858.6994481859665,0.0,0.04095884170359232,0.040951755155763214,13133.12332041575,0.0,0.031904853283801694,0.0
OrigemMotivoResidencia,411853,4,3275.6629011804635,0.0,0.023304596341268646,0.0232974266244538,12817.817434336745,0.0,0.031115329730888614,0.0
ResidencialMedioPadraoHor_pct,411853,4,1687.5807693427305,0.0,0.012143438992628972,0.01213621411525459,4813.9646673132165,0.0,0.01168137998954281,0.0
