EstagioClusterizacao,Ano,n_unidades,AreadaQuadra_total,AreaOcupada_total,AreaConstruida_total,UsoTotal_total,Numero_Viagens_total,Terreno_total,EmpresaPequenoPorte_total,EmpresaMedioPorte_total,EmpresaGrandePorte_total,cont_aceleradora_total,densidade_hec_media,concentracaoStartups_media,ConcentracaoAreaVerde_media,ConcentracaoIES_media,ConcentracaoPatrimonioHistorico_media,ConcentracaoBOs_media,TempoMediodeViagem_mediana,ValorTerrenoM2_mediana,ValorConstrucaoM2_mediana,NumerodePavimentos_mediana,ResidencialPopularHor_pct_medio,ResidencialPopularVert_pct_medio,ResidencialMedioPadraoHor_pct_medio,ResidencialMedioPadraoVert_pct_medio,ResidencialAltoPadraoHor_pct_medio,ResidencialAltoPadraoVert_pct_medio,ComercioServicos_pct_medio,OutrosUsos_pct_medio,Terreno_pct_medio,DeslocamentoCaminhada_medio,Caminhada_medio,DeslocamentoBicicleta_medio,DeslocamentoTansporteColetivo_medio,DeslocamentoVeiculoIndividual_medio,SemBaldeacao_medio,1Baldeacao_medio,Maisde2Baldeacoes_medio,Ate2SalariosMinimos_medio,2a5SalariosMinimos_medio,5a10SalariosMinimos_medio,Maisde10SalariosMinimos_medio,18a29anos_medio,30a39anos_medio,40a49anos_medio,50a64anos_medio,Maisde65anos_medio,EnsinoMedioCompleto_medio,EnsinoSuperiorCompleto_medio,MestradoDoutoradoCompleto_medio,Masculino_medio,Feminino_medio,Brasileira_medio,Estrangeira_medio,OrigemMotivoResidencia_medio,OrigemMotivoOutros_medio,OrigemMotivoEducacao_medio,OrigemMotivoTrabalhoComercioServico_medio,OrigemMotivotrabalhoindustria_medio,DestinoMotivoResidencia_medio,DestinoMotivoOutros_medio,DestinoMotivoEducacao_medio,DestinoMotivoTrabalhoComercioServico_medio,DestinoMotivotrabalhoindustria_medio,ResidencialPopularHor_medio,ResidencialPopularVert_medio,ResidencialMedioPadraoHor_medio,ResidencialMedioPadraoVert_medio,ResidencialAltoPadraoHor_medio,ResidencialAltoPadraoVert_medio,ComercioServicos_medio,OutrosUsos_medio,UsoPredominante_moda,CristalizacaoPredominante_moda,TO_moda,CA_moda,indice_diversidade_uso_shannon,indice_acessibilidade,empresas_total,prop_EmpresaPequenoPorte,prop_EmpresaMedioPorte,prop_EmpresaGrandePorte,yoy_delta__AreaConstruida_total,yoy_pct__AreaConstruida_total,mm3__AreaConstruida_total,yoy_delta__AreaOcupada_total,yoy_pct__AreaOcupada_total,mm3__AreaOcupada_total,yoy_delta__AreadaQuadra_total,yoy_pct__AreadaQuadra_total,mm3__AreadaQuadra_total,yoy_delta__ValorTerrenoM2_mediana,yoy_pct__ValorTerrenoM2_mediana,mm3__ValorTerrenoM2_mediana,yoy_delta__ValorConstrucaoM2_mediana,yoy_pct__ValorConstrucaoM2_mediana,mm3__ValorConstrucaoM2_mediana,yoy_delta__densidade_hec_media,yoy_pct__densidade_hec_media,mm3__densidade_hec_media,yoy_delta__TempoMediodeViagem_mediana,yoy_pct__TempoMediodeViagem_mediana,mm3__TempoMediodeViagem_mediana,yoy_delta__concentracaoStartups_media,yoy_pct__concentracaoStartups_media,mm3__concentracaoStartups_media,yoy_delta__ConcentracaoAreaVerde_media,yoy_pct__ConcentracaoAreaVerde_media,mm3__ConcentracaoAreaVerde_media
0,1995,33186,2599369112.2663717,844492891.5675702,10040619.5,4975195.0,5307296714.196957,249910.0,2160583.0,11942418.5,7884159.0,0.0,134.2632502111998,0.0,0.0,0.0,0.0,6463.150700803887,13655.0,29.66,134.94,1.0,0.16066532419171822,0.0,0.29878250307650506,0.0,0.0,0.0,0.04674242061018683,0.20653945118345557,0.0585037797062537,31081.947984823433,31298.312520744035,236.570393596874,28482.92108702266,24257.89947370567,45027.80935170758,6720.444086630629,1380.2328071107227,6.804230394272107,43.65243483402855,71.96610250755143,210.27583065637435,86.15418484601493,139.60146873152098,84.65276246184335,38.750219750363584,4.7996995413210595,0.0,0.0,0.0,229.54288728004985,125.42263988109508,346.3524316376596,8.042367870099566,34952.06117816982,12675.383924682841,16513.68391793299,17535.655993823413,2900.9777000645504,43176.60021981709,10189.953219685678,15008.065678272442,13057.15633217297,2196.6341965979977,9.933052052867943,0.0,20.8453756532579,0.0,0.0,0.0,2.8406929727829184,7.96382509469243,ResidencialMedioPadraoHor,cr_4,0.0,0.0,1.412522268281974,7.322788517867604e-05,21987160.5,0.09826566736527893,0.5431541967413209,0.35858013589340015,,,10040619.5,,,844492891.5675702,,,2599369112.2663717,,,29.66,,,134.94,,,134.2632502111998,,,13655.0,,,0.0,,,0.0
0,2000,33284,2531692720.19082,908153402.7809769,11498465.5,3705772.0,4602010877.547653,189863.0,3015616.5,14847926.0,17956144.0,0.0,133.41437829174026,0.0,0.0,0.0,0.0,7052.177104377104,11740.0,51.18,205.45,1.0,0.17310133076799747,0.0,0.4600796857463524,0.0,0.0,0.0,0.06314862914862915,0.04264758698092031,0.059891053391053405,35942.51431207905,36155.30083070995,535.6563464079685,35445.59882124748,26731.829136212535,50502.44475974087,9897.076151681218,3094.6613114070065,8.649110149110149,61.425436908770244,112.96659451659451,358.4398909732243,118.03775052108385,224.37586980920315,156.94276895943563,75.75465768799103,7.3139089305755975,133.22192560525895,431.59757495590827,0.0,362.25600448933784,232.5644781144781,581.6648388648389,12.560209235209236,40755.70758047247,13038.389971432338,20392.46806598925,23031.519517147022,2780.7547889877987,52260.67504347154,10392.210685811728,18560.82003118092,16215.833524590349,1837.2193135633158,8.351154401154401,0.0,25.27833894500561,0.0,0.0,0.0,3.069296135962803,1.6933221099887767,ResidencialMedioPadraoHor,cr_4,0.0,0.0,1.200416873374086,8.517162081594413e-05,35819686.5,0.08418880215492673,0.4145185916130226,0.5012926062320506,1457846.0,0.1451948258770288,10769542.5,63660511.21340668,0.07538312263971614,876323147.1742735,-67676392.07555151,-0.026035699107213373,2565530916.2285957,21.52,0.7255563047875928,40.42,70.50999999999999,0.5225285311990513,170.195,-0.8488719194595262,-0.00632244428854678,133.83881425147,-1915.0,-0.14024166971805196,12697.5,0.0,,0.0,0.0,,0.0
0,2005,34384,2618694876.2026873,943035887.107827,12883642.5,3888189.5,4822468725.53586,188053.0,3485273.5,18507834.5,26284255.0,0.0,138.47030388170148,0.0,0.0,0.0,0.0,7955.155034298247,11689.0,104.49,341.6,1.0,0.1724777178055344,0.0,0.4661694846707835,0.0,0.0,0.0,0.05913966619483893,0.04111916502045451,0.05606658992984803,36778.32641858017,36997.92246198813,542.216267482073,35799.00196435005,26312.81541641659,50390.69879033495,9964.186414468417,3148.616570918897,18.96127642364946,120.35870055530495,193.75390813358428,374.70542394499836,234.19046804274447,258.33695500007775,165.39694193407894,79.13524864284715,6.63772962715239,77.53404937080994,658.3816049401919,0.0,537.825288929677,238.94676383207081,769.0909409074648,11.734499681127408,40522.93746506049,13150.920109053572,21002.99320352284,23367.65741935844,2852.0142292407177,53633.996426190555,10125.905567509993,18979.549626875018,15733.214759124421,1823.4930011926442,8.504269781766709,0.0,26.145328127673473,0.0,0.0,0.0,2.874099768234068,1.6821851327598811,ResidencialMedioPadraoHor,cr_4,0.0,0.0,1.178037047452636,8.554319931565441e-05,48277363.0,0.07219270654861576,0.3833646527048298,0.5444426407465545,1385177.0,0.12046624830069708,11474242.5,34882484.32685006,0.038410343693071836,898560727.1521248,87002156.01186705,0.034365211590650535,2583252236.2199597,53.309999999999995,1.0416178194607268,61.776666666666664,136.15000000000003,0.6626916524701876,227.33,5.05592558996122,0.03789640707919295,135.38264412821385,-51.0,-0.0043441226575808845,12361.333333333334,0.0,,0.0,0.0,,0.0
0,2010,34222,884142139.1279429,330161058.73604083,7450310.0,2229596.5,3829743098.854565,83898.0,1182247.5,6461491.5,10429542.0,0.0,137.47936505753879,0.0,0.0,0.0,0.0,4532.889353651317,8027.0,205.5,500.0,1.0,0.14787819506293598,0.0,0.45175371309428813,0.0,0.0,0.0,0.05231563232000824,0.13421297845504387,0.04178897783726738,33508.38901165875,33806.74868172697,590.8366162427346,36504.07752825114,27193.665544339543,51689.668359721145,9809.004789745399,3741.9659588294676,34.78304460861283,102.72793379494968,129.89360086488713,197.24435635408892,152.5231151380988,161.34578753635873,99.01464645164612,50.46684599346187,4.181150093953512,34.495315194728306,391.76734922391825,11.16579577337898,344.04541944451597,156.87461710726146,495.703647455533,6.799434991891683,40622.91111298335,12492.139208174405,20681.81777223733,21764.293139922003,3407.255210361786,52802.658028551785,9913.2198925113,18535.588266909508,14758.263968438208,2579.6349119217725,6.822569435506705,0.0,22.737792478570878,0.0,0.0,0.0,2.419058405621766,5.16905197044969,ResidencialMedioPadraoHor,cr_4,0.0,0.0,1.2583926451659107,0.00012456402590931738,18073281.0,0.06541410494309251,0.3575162417936179,0.5770696532632896,-5433332.5,-0.421723320869855,10610806.0,-612874828.3717861,-0.6498955519618628,727116782.8749481,-1734552737.0747442,-0.6623729831365393,2011509911.8404834,101.01,0.9666953775480909,120.38999999999999,158.39999999999998,0.4637002341920373,349.01666666666665,-0.9909388241626971,-0.007156327359614134,136.45468241032685,-3662.0,-0.313285995380272,10485.333333333334,0.0,,0.0,0.0,,0.0
0,2015,32501,722295289.7420927,274866035.73816955,6120688.5,1797560.0,3236652922.749835,62243.0,3015091.0,13456055.5,18905178.0,0.0,133.92840458629192,0.0,0.0,0.0,0.0,4649.406910556599,7956.0,436.0,750.0,1.0,0.15200424602319929,0.0,0.46539583397433926,0.0,0.0,0.0,0.04933986646564721,0.12682717454847545,0.0379509861235039,34334.29701324079,34641.54110144642,595.9116937681611,36709.92022938847,27158.05082763853,51938.14919128557,9782.520914894512,3740.0545576437494,99.07950524599244,277.6551029199102,302.860742746377,380.8204516784099,319.6638103442971,432.410818128673,226.9648010830436,122.9443401741485,11.152533768191748,110.9937694224793,893.4121027045321,24.338481892864834,784.6198116981016,376.20036306575184,1173.11531952863,14.643395587828067,40585.39834573493,12697.684639617428,21234.43790472012,21946.756303022325,3527.5495870227537,54074.6759588746,9834.88665933996,18802.679128009262,14269.053615505367,2600.5726247063308,6.665625673056214,0.0,22.364081105196764,0.0,0.0,0.0,2.177963754961386,4.69153256822867,ResidencialMedioPadraoHor,cr_4,0.0,0.0,1.2307739696499784,0.00012567550584391103,35376324.5,0.0852290632962732,0.3803689526875524,0.5344019840161744,-1329621.5,-0.17846525849259964,8818213.666666666,-55295022.99787128,-0.1674789365213385,516020993.86067915,-161846849.3858502,-0.18305523764027898,1408377435.024241,230.5,1.121654501216545,248.66333333333333,250.0,0.5,530.5333333333333,-3.550960471246867,-0.025829043287774134,136.62602450851074,-71.0,-0.008845147626759697,9224.0,0.0,,0.0,0.0,,0.0
0,2020,32398,720373910.6934737,272555709.5961662,6317042.0,1801540.0,3279221754.1526966,62824.0,3141847.5,14000702.0,20200999.0,0.0,136.4061200492391,0.0,0.0,0.0,0.0,6242.1273689733935,7984.0,520.0,906.0,1.0,0.15326964627446135,0.0,0.4635613309463547,0.0,0.0,0.0,0.04734520649422805,0.12521698870300638,0.03832782887832582,35324.85721700438,35646.48397298336,590.7520155444935,37400.4987243423,27200.758520391195,52481.41155122599,9944.05766636587,3830.8896598580777,127.09647200444472,283.1416908451139,299.4299956787456,371.29847521451944,314.2478548058522,445.16752577319585,262.66516451632816,131.10756836841782,12.622276066423852,136.47410333971231,907.1688761651953,24.07903265633681,797.7476387431323,415.0537841842089,1211.7896629421568,14.881011173529231,40846.76692458023,12967.965218802086,21899.298719455586,22447.601400892603,3625.767433416631,55677.80559461678,9811.579960714334,19143.78305495807,14088.842953353618,2581.0379280077323,6.7207852336563985,0.0,22.256049756157786,0.0,0.0,0.0,2.0816717081301315,4.612383480461757,ResidencialMedioPadraoHor,cr_4,0.0,0.0,1.2286082121438084,0.00012523481527864746,37343548.5,0.08413360878117943,0.374916218794794,0.5409501724240267,196353.5,0.032080296195436286,6629346.833333333,-2310326.1420033574,-0.008405280542569948,292527601.3567922,-1921379.048619032,-0.0026601018667934406,775603779.8545032,84.0,0.19266055045871555,387.1666666666667,156.0,0.20799999999999996,718.6666666666666,2.477715462947174,0.018500298503524304,135.93796323102325,28.0,0.0035193564605329186,7989.0,0.0,,0.0,0.0,,0.0
0,2023,32274,489520546.0,198906921.0,49353767.5,1562494.0,2621264628.2242227,58461.0,3131396.5,13964691.0,20156143.0,0.0,136.41390390537256,0.0,0.0,0.0,0.0,6248.696458449526,29.6870948849302,916.0,1459.0,1.0,0.16960246638160748,0.0,0.5142080312325711,0.0,0.0,0.0,0.05247660655636117,0.035921794633451076,0.042505112474437626,12165.89494667904,23973.949388767433,290.9283976916101,21041.53430954712,13906.53013784555,25709.994815822094,6558.008407503383,2454.9048230217527,127.21786887277685,283.4778769287972,299.89477598066554,371.8689967156225,314.70452996219865,445.826718101258,263.03662390778953,131.2557786453492,12.637742455227118,136.6318088864101,908.5109608353473,24.10440292495507,798.8557972361654,415.6607950672368,1213.5114798289644,14.902715808390655,23113.648565419553,15674.552819831564,7950.750178743552,10533.622909363401,1323.838172280688,22935.14311399953,15399.868019117917,7971.2993723535965,10606.99424954529,1369.137786411527,6.64316477660036,0.0,22.551759930594287,0.0,0.0,0.0,2.137076284315548,1.1552178223957366,ResidencialMedioPadraoHor,cr_4,0.0,0.1574117119994697,1.085516807681894,0.03258698823560126,37252230.5,0.08405930216715479,0.3748685867279813,0.5410721111048639,43036725.5,6.812797112952549,20597166.0,-73648788.5961662,-0.27021554127517033,248776222.11144528,-230853364.6934737,-0.3204632500797272,644063248.8118554,396.0,0.7615384615384615,624.0,553.0,0.6103752759381897,1038.3333333333333,0.007783856133471545,5.7063833577730705e-05,135.58280951363454,-7954.31290511507,-0.9962816764923684,5323.22903162831,0.0,,0.0,0.0,,0.0
0,2025,32272,495019936.0,204036770.5,49484842.0,1587077.0,2621162118.3617268,56746.0,3131343.5,13963604.5,20153958.0,0.0,136.4061200492391,0.0,0.0,0.0,0.0,6248.924718021814,29.6870948849302,998.0,1590.0,1.0,0.1667203767972236,0.0,0.5136728433316807,0.0,0.0,0.0,0.05295039043133366,0.0352624566187407,0.041097855726326224,12166.358485876608,23974.67926085303,290.8672957539671,21042.160781452185,13906.888616847453,25710.923505658524,6558.311709247423,2454.7758151781723,127.21479920674268,283.47330503222605,299.88717773921667,371.8512952404561,314.6997552057511,445.8160479672781,263.02540902330196,131.24845066931087,12.637348165592464,136.6336607585523,908.4924082796232,24.104393901834406,798.8322074863659,415.6503005701537,1213.4751022558255,14.901710461080812,23114.319634808955,15675.117924532975,7950.967319825146,10533.82344040619,1323.8682716984974,22935.800523175632,15400.416100715669,7971.517786935042,10607.20576798364,1369.166850510174,6.5653817550818045,0.0,22.730586886465048,0.0,0.0,0.0,2.1769335647000494,1.1443976202280615,ResidencialMedioPadraoHor,cr_4,0.0,0.1574117119994697,1.0802225092128013,0.03258698823560126,37248906.0,0.08406538167859212,0.3748728754610941,0.5410617428603138,131074.5,0.0026558154856162197,35051883.833333336,5129849.5,0.025790201136339563,225166467.03205538,5499390.0,0.011234237347006015,568304797.5644913,82.0,0.08951965065502177,811.3333333333334,131.0,0.08978752570253601,1318.3333333333333,-0.007783856133471545,-5.7060577482448416e-05,136.40871466795025,0.0,0.0,2681.124729923287,0.0,,0.0,0.0,,0.0
1,1995,511,43966802.84374965,16131839.556697186,304885.5,80285.0,82053771.43964,2733.0,31910.0,189178.0,156425.5,0.0,98.45509154825925,0.0,0.0,0.0,0.0,8880.598384030418,16003.0,82.81,179.52,1.0,0.08939163498098858,0.0,0.27493346007604563,0.0,0.0,0.0,0.09040399239543728,0.18105513307984794,0.03556558935361217,18688.707564942968,18874.251989372624,77.60415615019012,30333.346711844108,28548.013754895437,51508.726960399246,6029.987043878327,1417.937823136882,5.896863117870723,58.09553231939164,83.79087452471482,196.4472433460076,82.11026615969581,135.27756653992395,89.36644486692015,49.913498098859314,6.8255703422053235,0.0,0.0,0.0,235.143536121673,129.65351711026616,357.1097908745247,7.687262357414449,39219.92385292776,11161.540780589352,11204.543079876426,14736.434242694868,1603.9665985788974,29054.550262366916,12622.132613082225,14372.663765622625,18454.121102138783,1938.2686039545615,5.943441064638783,0.0,20.05893536121673,0.0,0.0,0.0,4.846958174904943,7.466254752851711,ResidencialMedioPadraoHor,cr_4,0.2395727937043282,0.1574117119994697,1.4131328195151682,6.248437890527369e-05,377513.5,0.08452677851255651,0.5011158541350177,0.4143573673524258,,,304885.5,,,16131839.556697186,,,43966802.84374965,,,82.81,,,179.52,,,98.45509154825925,,,16003.0,,,0.0,,,0.0
1,2000,1179,78046843.47906862,31220865.46918017,684282.0,161478.5,137428009.77802,3787.0,167485.5,862078.0,1205206.5,0.0,90.66159553482383,0.0,0.0,0.0,0.0,9018.503968253968,21100.0,312.2,273.32,2.0,0.04007002801120448,0.0,0.2911998132586368,0.0,0.0,0.0,0.11858776844070962,0.05808590102707749,0.03236928104575164,18110.83318603408,18306.253659119982,333.8460641666667,35869.894315595244,33743.10289651331,56638.003535504795,11091.09372940943,3166.813552901494,17.323295985060692,128.91456582633054,259.78968253968253,588.2768440709617,214.04435107376284,401.79411764705884,277.8620448179272,142.2843137254902,15.492997198879552,196.281279178338,811.2059990662932,0.0,650.6883753501401,427.9276377217554,1061.468720821662,20.42892156862745,48856.2991103534,11394.412519591504,10016.398454530814,17073.805632626052,1680.411052446312,26495.035839073294,14388.568305864846,13294.422102943512,24556.02238014005,2499.9293715925305,2.1430905695611577,0.0,16.80392156862745,0.0,0.0,0.0,5.683006535947713,2.34733893557423,ResidencialMedioPadraoHor,cr_4,0.5196583445264502,0.1574117119994697,1.267311670456941,4.739111890431733e-05,2234770.0,0.07494529638396792,0.3857569235312806,0.5392977800847515,379396.5,1.2443901071057821,494583.75,15089025.912482984,0.9353568053693371,23676352.51293868,34080040.63531897,0.7751311997015906,61006823.16140914,229.39,2.770076077768385,197.505,93.79999999999998,0.5225044563279857,226.42000000000002,-7.793496013435416,-0.07915787686424847,94.55834354154155,5097.0,0.3185027807286134,18551.5,0.0,,0.0,0.0,,0.0
