variavel,cluster_a,cluster_b,n_a,n_b,U,p_raw,p_adj,significativo
Unnamed: 0,1,0,35757,357524,3439495147.0,0.0,0.0,True
Unnamed: 0,1,3,35757,12724,337803768.0,0.0,0.0,True
Unnamed: 0,1,2,35757,5848,117395088.0,2.1392882901005007e-51,2.1392882901005007e-51,True
Unnamed: 0,0,3,357524,12724,4048104823.0,0.0,0.0,True
Unnamed: 0,0,2,357524,5848,1624831550.0,0.0,0.0,True
Unnamed: 0,3,2,12724,5848,23172877.0,0.0,0.0,True
ResidencialPopularHor_pct,1,0,35757,357524,3577349731.0,0.0,0.0,True
ResidencialPopularHor_pct,1,3,35757,12724,219514913.0,2.8296635051973704e-11,2.8296635051973704e-11,True
ResidencialPopularHor_pct,1,2,35757,5848,121279230.5,1.4673882531277628e-112,1.7608659037533154e-112,True
ResidencialPopularHor_pct,0,3,357524,12724,3097534884.0,0.0,0.0,True
ResidencialPopularHor_pct,0,2,357524,5848,1643974002.5,0.0,0.0,True
ResidencialPopularHor_pct,3,2,12724,5848,43822798.0,3.0980576299218004e-115,4.647086444882701e-115,True
EnsinoSuperiorCompleto,1,0,35757,357524,8756278635.0,0.0,0.0,True
EnsinoSuperiorCompleto,1,3,35757,3221,34568168.0,0.0,0.0,True
EnsinoSuperiorCompleto,1,2,35757,5848,89230333.5,7.116168230990277e-73,7.116168230990277e-73,True
EnsinoSuperiorCompleto,0,3,357524,3221,186849961.0,0.0,0.0,True
EnsinoSuperiorCompleto,0,2,357524,5848,514342907.0,0.0,0.0,True
EnsinoSuperiorCompleto,3,2,3221,5848,12175053.5,2.2983415177108277e-120,2.758009821252993e-120,True
ResidencialAltoPadraoVert,1,0,35757,357524,6391992834.0,1.0,1.0,False
ResidencialAltoPadraoVert,1,3,35757,12724,227486034.0,1.0,1.0,False
ResidencialAltoPadraoVert,1,2,35757,5848,104553468.0,1.0,1.0,False
ResidencialAltoPadraoVert,0,3,357524,12724,2274567688.0,1.0,1.0,False
ResidencialAltoPadraoVert,0,2,357524,5848,1045400176.0,1.0,1.0,False
ResidencialAltoPadraoVert,3,2,12724,5848,37204976.0,1.0,1.0,False
cr_1_pct,1,0,35757,357523,6391974955.5,1.0,1.0,False
cr_1_pct,1,3,35757,12416,221979456.0,1.0,1.0,False
cr_1_pct,1,2,35757,5848,104553468.0,1.0,1.0,False
cr_1_pct,0,3,357523,12416,2219502784.0,1.0,1.0,False
cr_1_pct,0,2,357523,5848,1045397252.0,1.0,1.0,False
cr_1_pct,3,2,12416,5848,36304384.0,1.0,1.0,False
ComercioServicos,1,0,35757,357524,8125369581.0,0.0,0.0,True
ComercioServicos,1,3,35757,12724,249581671.0,4.5385308152192015e-62,5.4462369782630414e-62,True
ComercioServicos,1,2,35757,5848,95191744.0,4.8314246387204337e-29,4.8314246387204337e-29,True
ComercioServicos,0,3,357524,12724,1946319926.5,1.5737047769635877e-179,3.1474095539271754e-179,True
ComercioServicos,0,2,357524,5848,659048479.0,0.0,0.0,True
ComercioServicos,3,2,12724,5848,30516920.0,1.0357811523107936e-90,1.5536717284661905e-90,True
concentracaoStartups,1,0,35757,357524,6391992834.0,1.0,1.0,False
concentracaoStartups,1,3,35757,12724,227486034.0,1.0,1.0,False
concentracaoStartups,1,2,35757,5848,104553468.0,1.0,1.0,False
concentracaoStartups,0,3,357524,12724,2274567688.0,1.0,1.0,False
concentracaoStartups,0,2,357524,5848,1045400176.0,1.0,1.0,False
concentracaoStartups,3,2,12724,5848,37204976.0,1.0,1.0,False
ConcentracaoAreaVerde,1,0,35757,357524,6391992834.0,1.0,1.0,False
ConcentracaoAreaVerde,1,3,35757,12724,227486034.0,1.0,1.0,False
ConcentracaoAreaVerde,1,2,35757,5848,104553468.0,1.0,1.0,False
ConcentracaoAreaVerde,0,3,357524,12724,2274567688.0,1.0,1.0,False
ConcentracaoAreaVerde,0,2,357524,5848,1045400176.0,1.0,1.0,False
ConcentracaoAreaVerde,3,2,12724,5848,37204976.0,1.0,1.0,False
ConcentracaoIES,1,0,35757,357524,6391992834.0,1.0,1.0,False
ConcentracaoIES,1,3,35757,12724,227486034.0,1.0,1.0,False
ConcentracaoIES,1,2,35757,5848,104553468.0,1.0,1.0,False
ConcentracaoIES,0,3,357524,12724,2274567688.0,1.0,1.0,False
ConcentracaoIES,0,2,357524,5848,1045400176.0,1.0,1.0,False
ConcentracaoIES,3,2,12724,5848,37204976.0,1.0,1.0,False
SemBaldeacao,1,0,35757,357524,4755171028.0,0.0,0.0,True
SemBaldeacao,1,3,35757,12724,300628619.0,0.0,0.0,True
SemBaldeacao,1,2,35757,5848,110981023.5,4.393237040217152e-14,4.393237040217152e-14,True
SemBaldeacao,0,3,357524,12724,3614836462.0,0.0,0.0,True
SemBaldeacao,0,2,357524,5848,1361982085.5,0.0,0.0,True
SemBaldeacao,3,2,12724,5848,28587119.5,2.8076595444063707e-142,3.3691914532876444e-142,True
EnsinoMedioCompleto,1,0,35757,357524,8385434005.0,0.0,0.0,True
EnsinoMedioCompleto,1,3,35757,3221,43290985.0,1.4862440211130277e-121,2.229366031669542e-121,True
EnsinoMedioCompleto,1,2,35757,5848,96622645.0,9.69236111009726e-21,9.69236111009726e-21,True
EnsinoMedioCompleto,0,3,357524,3221,278158237.0,0.0,0.0,True
EnsinoMedioCompleto,0,2,357524,5848,648921732.0,0.0,0.0,True
EnsinoMedioCompleto,3,2,3221,5848,11158593.0,1.1105615422248194e-48,1.3326738506697831e-48,True
2a5SalariosMinimos,1,0,35757,357524,9119046413.5,0.0,0.0,True
2a5SalariosMinimos,1,3,35757,3221,34141710.0,0.0,0.0,True
2a5SalariosMinimos,1,2,35757,5848,84831045.0,1.4366760430339774e-121,1.7240112516407729e-121,True
2a5SalariosMinimos,0,3,357524,3221,157644668.5,0.0,0.0,True
2a5SalariosMinimos,0,2,357524,5848,444520521.0,0.0,0.0,True
2a5SalariosMinimos,3,2,3221,5848,11584844.5,9.119147631012414e-80,9.119147631012414e-80,True
cr_3_pct,1,0,35757,357523,6505953703.5,1.2767037593096559e-08,1.915055638964484e-08,True
cr_3_pct,1,3,35757,12416,292984286.0,0.0,0.0,True
cr_3_pct,1,2,35757,5848,105458583.0,0.2669870548497135,0.32038446581965624,False
cr_3_pct,0,3,357523,12416,3051514056.5,0.0,0.0,True
cr_3_pct,0,2,357523,5848,1038427202.0,0.37136434289282827,0.37136434289282827,False
cr_3_pct,3,2,12416,5848,25533054.5,0.0,0.0,True
EmpresaMedioPorte,1,0,35757,357524,8447622740.5,0.0,0.0,True
EmpresaMedioPorte,1,3,35757,3221,34724544.0,3.8612316373034193e-308,5.791847455955129e-308,True
EmpresaMedioPorte,1,2,35757,5848,86859337.5,1.3798943171547193e-96,1.6558731805856631e-96,True
EmpresaMedioPorte,0,3,357524,3221,199101135.5,0.0,0.0,True
EmpresaMedioPorte,0,2,357524,5848,540624534.5,0.0,0.0,True
EmpresaMedioPorte,3,2,3221,5848,11819226.5,8.38324946944839e-92,8.38324946944839e-92,True
ResidencialAltoPadraoHor_pct,1,0,35757,357524,6391992834.0,1.0,1.0,False
ResidencialAltoPadraoHor_pct,1,3,35757,12724,227486034.0,1.0,1.0,False
ResidencialAltoPadraoHor_pct,1,2,35757,5848,104553468.0,1.0,1.0,False
ResidencialAltoPadraoHor_pct,0,3,357524,12724,2274567688.0,1.0,1.0,False
ResidencialAltoPadraoHor_pct,0,2,357524,5848,1045400176.0,1.0,1.0,False
ResidencialAltoPadraoHor_pct,3,2,12724,5848,37204976.0,1.0,1.0,False
DeslocamentoCaminhada,1,0,35757,357524,3339940358.0,0.0,0.0,True
DeslocamentoCaminhada,1,3,35757,12724,255155552.0,1.4036909860045989e-92,2.1055364790068984e-92,True
DeslocamentoCaminhada,1,2,35757,5848,115183408.0,9.100823965175167e-36,1.0920988758210199e-35,True
DeslocamentoCaminhada,0,3,357524,12724,3604733953.0,0.0,0.0,True
DeslocamentoCaminhada,0,2,357524,5848,1629137345.5,0.0,0.0,True
DeslocamentoCaminhada,3,2,12724,5848,36512036.5,0.041152259373354344,0.041152259373354344,True
NaoMapeado,1,0,35757,357524,7419502847.5,0.0,0.0,True
NaoMapeado,1,3,35757,12724,108607946.0,0.0,0.0,True
NaoMapeado,1,2,35757,5848,98440684.5,8.597457633567479e-14,8.597457633567479e-14,True
NaoMapeado,0,3,357524,12724,762404875.5,0.0,0.0,True
NaoMapeado,0,2,357524,5848,811764357.0,2.4096849490636475e-218,2.891621938876377e-218,True
NaoMapeado,3,2,12724,5848,55420224.5,0.0,0.0,True
Maisde65anos,1,0,35757,357524,8664805590.0,0.0,0.0,True
Maisde65anos,1,3,35757,3221,32911178.5,0.0,0.0,True
Maisde65anos,1,2,35757,5848,86342580.0,1.7173600027837787e-104,1.7173600027837787e-104,True
Maisde65anos,0,3,357524,3221,165092825.0,0.0,0.0,True
Maisde65anos,0,2,357524,5848,510001929.5,0.0,0.0,True
Maisde65anos,3,2,3221,5848,11944631.0,6.778732169960809e-110,8.13447860395297e-110,True
EmpresaPequenoPorte,1,0,35757,357524,8559420818.0,0.0,0.0,True
EmpresaPequenoPorte,1,3,35757,3221,35710569.0,2.883439699897961e-284,4.325159549846942e-284,True
EmpresaPequenoPorte,1,2,35757,5848,90902666.0,1.3028556546715772e-58,1.3028556546715772e-58,True
EmpresaPequenoPorte,0,3,357524,3221,209664992.5,0.0,0.0,True
EmpresaPequenoPorte,0,2,357524,5848,578527857.0,0.0,0.0,True
EmpresaPequenoPorte,3,2,3221,5848,11705175.0,1.1865453333583466e-86,1.4238544000300159e-86,True
AreaOcupada,1,0,35757,357524,7213981388.0,0.0,0.0,True
AreaOcupada,1,3,35757,12724,267050374.5,1.0893585339696648e-187,3.2680756019089946e-187,True
AreaOcupada,1,2,35757,5848,96607348.0,9.071677877535729e-21,1.0886013453042873e-20,True
AreaOcupada,0,3,357524,12724,2384354540.5,1.6835837930133546e-20,1.6835837930133546e-20,True
AreaOcupada,0,2,357524,5848,838675460.5,2.906489508051364e-149,4.3597342620770465e-149,True
AreaOcupada,3,2,12724,5848,28219830.5,8.238687510804894e-155,1.647737502160979e-154,True
Masculino,1,0,35757,357524,8393239143.5,0.0,0.0,True
Masculino,1,3,35757,3221,35133993.5,1.396660930274832e-296,2.094991395412248e-296,True
Masculino,1,2,35757,5848,89910337.5,1.4292776072327881e-66,1.4292776072327881e-66,True
Masculino,0,3,357524,3221,199265237.5,0.0,0.0,True
Masculino,0,2,357524,5848,559491076.5,0.0,0.0,True
Masculino,3,2,3221,5848,12211833.5,2.207404088424397e-122,2.648884906109276e-122,True
DistanciaTransportePublico,1,0,35438,356806,3386157239.5,0.0,0.0,True
DistanciaTransportePublico,1,3,35438,12407,230762855.5,1.5847590687665356e-16,1.5847590687665356e-16,True
DistanciaTransportePublico,1,2,35438,5810,123760455.0,3.9849308040368103e-135,5.977396206055216e-135,True
DistanciaTransportePublico,0,3,356806,12407,3224832652.0,0.0,0.0,True
DistanciaTransportePublico,0,2,356806,5810,1702922537.5,0.0,0.0,True
DistanciaTransportePublico,3,2,12407,5810,40478130.0,5.368407460343705e-41,6.442088952412446e-41,True
18a29anos,1,0,35757,357524,8422298678.5,0.0,0.0,True
18a29anos,1,3,35757,3221,36064823.5,1.9922590923527123e-273,2.9883886385290687e-273,True
18a29anos,1,2,35757,5848,91178132.5,5.96963922391518e-56,5.96963922391518e-56,True
18a29anos,0,3,357524,3221,215011435.5,0.0,0.0,True
18a29anos,0,2,357524,5848,572715162.0,0.0,0.0,True
18a29anos,3,2,3221,5848,12103904.5,2.46936935684353e-114,2.963243228212236e-114,True
DeslocamentoBicicleta,1,0,35757,357524,6598746553.0,3.5742588573105445e-25,3.5742588573105445e-25,True
DeslocamentoBicicleta,1,3,35757,12724,295840732.5,0.0,0.0,True
DeslocamentoBicicleta,1,2,35757,5848,93048214.5,1.7531615608243527e-42,2.103793872989223e-42,True
DeslocamentoBicicleta,0,3,357524,12724,2829534633.0,0.0,0.0,True
DeslocamentoBicicleta,0,2,357524,5848,904359965.5,4.227639412832539e-74,6.341459119248809e-74,True
DeslocamentoBicicleta,3,2,12724,5848,22506634.0,0.0,0.0,True
Maisde10SalariosMinimos,1,0,35757,357524,7497155415.0,0.0,0.0,True
Maisde10SalariosMinimos,1,3,35757,3221,38940720.5,8.844183003700457e-205,1.3266274505550685e-204,True
Maisde10SalariosMinimos,1,2,35757,5848,93539100.0,2.2060860163485458e-38,2.2060860163485458e-38,True
Maisde10SalariosMinimos,0,3,357524,3221,284058338.5,0.0,0.0,True
Maisde10SalariosMinimos,0,2,357524,5848,737092984.5,0.0,0.0,True
Maisde10SalariosMinimos,3,2,3221,5848,11643500.5,4.680667305598329e-78,5.616800766717994e-78,True
MestradoDoutoradoCompleto,1,0,35757,357524,8945836628.0,0.0,0.0,True
MestradoDoutoradoCompleto,1,3,35757,3221,37036529.0,1.8669463476854184e-276,2.8004195215281277e-276,True
MestradoDoutoradoCompleto,1,2,35757,5848,87851395.5,4.76200096024755e-95,5.7144011522970594e-95,True
MestradoDoutoradoCompleto,0,3,357524,3221,191415532.0,0.0,0.0,True
MestradoDoutoradoCompleto,0,2,357524,5848,497095952.0,0.0,0.0,True
MestradoDoutoradoCompleto,3,2,3221,5848,11377885.5,8.888365332919562e-81,8.888365332919562e-81,True
5a10SalariosMinimos,1,0,35757,357524,8590733572.0,0.0,0.0,True
5a10SalariosMinimos,1,3,35757,3221,35739068.0,1.0948187063422861e-283,1.6422280595134293e-283,True
5a10SalariosMinimos,1,2,35757,5848,91837145.5,4.630123395893561e-51,4.630123395893561e-51,True
5a10SalariosMinimos,0,3,357524,3221,177436167.5,0.0,0.0,True
5a10SalariosMinimos,0,2,357524,5848,528332256.5,0.0,0.0,True
5a10SalariosMinimos,3,2,3221,5848,12310227.0,4.31273473402883e-133,5.175281680834596e-133,True
DistanciaPatrimonioHistorico,1,0,35757,357524,3370277499.0,0.0,0.0,True
DistanciaPatrimonioHistorico,1,3,35757,12724,424452050.5,0.0,0.0,True
DistanciaPatrimonioHistorico,1,2,35757,5848,113124200.5,7.826394464993277e-24,7.826394464993277e-24,True
DistanciaPatrimonioHistorico,0,3,357524,12724,4419834332.5,0.0,0.0,True
DistanciaPatrimonioHistorico,0,2,357524,5848,1629556376.5,0.0,0.0,True
DistanciaPatrimonioHistorico,3,2,12724,5848,5340952.0,0.0,0.0,True
OrigemMotivoTrabalhoComercioServico,1,0,35757,357524,3992285410.0,0.0,0.0,True
OrigemMotivoTrabalhoComercioServico,1,3,35757,12724,273171041.0,6.511544118417058e-249,9.767316177625587e-249,True
OrigemMotivoTrabalhoComercioServico,1,2,35757,5848,112746081.5,6.472423546053495e-22,6.472423546053495e-22,True
OrigemMotivoTrabalhoComercioServico,0,3,357524,12724,3547981739.0,0.0,0.0,True
OrigemMotivoTrabalhoComercioServico,0,2,357524,5848,1496081790.0,0.0,0.0,True
OrigemMotivoTrabalhoComercioServico,3,2,12724,5848,33141633.5,4.857410893010647e-33,5.828893071612776e-33,True
TO,1,0,35757,357524,8384739974.0,0.0,0.0,True
TO,1,3,35757,12724,223150745.0,0.0013856611773707553,0.0013856611773707553,True
TO,1,2,35757,5848,96519343.0,3.889373228787763e-21,5.8340598431816446e-21,True
TO,0,3,357524,12724,1617386733.5,0.0,0.0,True
TO,0,2,357524,5848,651326303.5,0.0,0.0,True
TO,3,2,12724,5848,35422211.0,1.4939337669662036e-07,1.7927205203594442e-07,True
DestinoMotivoEducacao,1,0,35757,357524,3536112602.5,0.0,0.0,True
DestinoMotivoEducacao,1,3,35757,12724,275960461.0,5.754649179495913e-280,8.631973769243869e-280,True
DestinoMotivoEducacao,1,2,35757,5848,122757599.0,2.0653090775846603e-101,2.478370893101592e-101,True
DestinoMotivoEducacao,0,3,357524,12724,3777454396.5,0.0,0.0,True
DestinoMotivoEducacao,0,2,357524,5848,1657194715.5,0.0,0.0,True
DestinoMotivoEducacao,3,2,12724,5848,36296983.5,0.007456779660978231,0.007456779660978231,True
OrigemMotivotrabalhoindustria,1,0,35757,357524,3591651306.0,0.0,0.0,True
OrigemMotivotrabalhoindustria,1,3,35757,12724,259800164.0,1.468752949392209e-125,2.2031294240883138e-125,True
OrigemMotivotrabalhoindustria,1,2,35757,5848,114605106.5,3.6736167989131797e-32,4.408340158695815e-32,True
OrigemMotivotrabalhoindustria,0,3,357524,12724,3568870070.5,0.0,0.0,True
OrigemMotivotrabalhoindustria,0,2,357524,5848,1593145654.0,0.0,0.0,True
OrigemMotivotrabalhoindustria,3,2,12724,5848,35662474.0,5.478248560761475e-06,5.478248560761475e-06,True
