variavel,cluster_a,cluster_b,n_a,n_b,media_a,media_b,t,gl_aprox,p_raw,p_adj,significativo
18a29anos,1,0,35757,357524,353.46611852224737,208.70534425660935,87.90591137503337,41664.641626226956,0.0,0.0,True
18a29anos,1,3,35757,3221,353.46611852224737,546.3877677739832,-37.74619639862262,3937.412595622359,2.123485279106209e-266,3.185227918659313e-266,True
18a29anos,1,2,35757,5848,353.46611852224737,405.8583276333789,-12.873147348252775,8081.444733576161,1.4889033980385876e-37,1.4889033980385876e-37,True
18a29anos,0,3,357524,3221,208.70534425660935,546.3877677739832,-69.20132415243533,3274.899837254795,0.0,0.0,True
18a29anos,0,2,357524,5848,208.70534425660935,405.8583276333789,-52.22164704868832,6014.966327570752,0.0,0.0,True
18a29anos,3,2,3221,5848,546.3877677739832,405.8583276333789,22.89844377039337,6856.031769744929,6.957826246347825e-112,8.34939149561739e-112,True
1Baldeacao,1,0,35757,357524,6974.324452330658,8734.673603327346,-55.27584088871552,41668.183392144245,0.0,0.0,True
1Baldeacao,1,3,35757,12724,6974.324452330658,6121.81567471256,14.046374155509474,22004.488192740224,1.264104100114496e-44,1.8961561501717441e-44,True
1Baldeacao,1,2,35757,5848,6974.324452330658,6378.626275328755,6.890594681522458,7622.804972897073,5.9989125401587174e-12,7.19869504819046e-12,True
1Baldeacao,0,3,357524,12724,8734.673603327346,6121.81567471256,49.20846350444967,13427.57237164646,0.0,0.0,True
1Baldeacao,0,2,357524,5848,8734.673603327346,6378.626275328755,28.979964841281365,5981.978564263647,6.551203733421072e-173,1.3102407466842145e-172,True
1Baldeacao,3,2,12724,5848,6121.81567471256,6378.626275328755,-2.6660248793671264,10905.539335298019,0.007686717944988942,0.007686717944988941,True
2a5SalariosMinimos,1,0,35757,357524,313.8698576502503,153.23616736219108,124.44818252779051,40800.49767246585,0.0,0.0,True
2a5SalariosMinimos,1,3,35757,3221,313.8698576502503,488.4335610058988,-49.370233383588165,4195.413883738514,0.0,0.0,True
2a5SalariosMinimos,1,2,35757,5848,313.8698576502503,391.18057455540355,-23.857646633839067,8024.246314798982,1.341854280208206e-121,1.6102251362498472e-121,True
2a5SalariosMinimos,0,3,357524,3221,153.23616736219108,488.4335610058988,-100.83973793682831,3283.133399583661,0.0,0.0,True
2a5SalariosMinimos,0,2,357524,5848,153.23616736219108,391.18057455540355,-79.10292024877441,5987.441063733579,0.0,0.0,True
2a5SalariosMinimos,3,2,3221,5848,488.4335610058988,391.18057455540355,21.809691811317926,7773.803184662201,2.1046562535958815e-102,2.1046562535958815e-102,True
30a39anos,1,0,35757,357524,490.3470229605392,287.69532115326524,87.83887453517397,41415.48726149237,0.0,0.0,True
30a39anos,1,3,35757,3221,490.3470229605392,767.5558832660664,-41.07763703589223,4046.6601937730998,1.2752351655439127e-308,1.912852748315869e-308,True
30a39anos,1,2,35757,5848,490.3470229605392,570.9752906976744,-14.430911688456389,8207.203656194497,1.2275493955133055e-46,1.2275493955133053e-46,True
30a39anos,0,3,357524,3221,287.69532115326524,767.5558832660664,-74.96413138558555,3280.3158210776073,0.0,0.0,True
30a39anos,0,2,357524,5848,287.69532115326524,570.9752906976744,-54.873030296905554,6016.6534912581365,0.0,0.0,True
30a39anos,3,2,3221,5848,767.5558832660664,570.9752906976744,24.039572004030532,7098.935403273699,7.837264646445293e-123,9.404717575734351e-123,True
40a49anos,1,0,35757,357524,287.7233408843024,174.61530274890637,83.19740917577053,41723.52711210559,0.0,0.0,True
40a49anos,1,3,35757,3221,287.7233408843024,438.4827693262962,-37.50660873822534,4022.5627595866836,2.753829439235744e-264,4.130744158853616e-264,True
40a49anos,1,2,35757,5848,287.7233408843024,336.4960670314637,-14.580343352656083,8104.305688895667,1.4937488764741053e-47,1.4937488764741053e-47,True
40a49anos,0,3,357524,3221,174.61530274890637,438.4827693262962,-69.09489431766953,3281.732882370542,0.0,0.0,True
40a49anos,0,2,357524,5848,174.61530274890637,336.4960670314637,-52.20037163604501,6018.246148923481,0.0,0.0,True
