variavel,cluster,n,missings,media,mediana,desvio_padrao,p25,p75,minimo,maximo,coef_var,shapiro_p
18a29anos,__GERAL__,402350,9503,227.13913756679509,81.0,276.5159862798244,27.0,342.0,0.0,814.5,1.2173859126259516,0.0
1Baldeacao,__GERAL__,411853,0,8467.663350518655,7204.95957,5319.976088323893,4729.87338,11163.672867,0.0,20814.3720975,0.6282696734746828,3.194960498660583e-43
2a5SalariosMinimos,__GERAL__,402350,9503,173.65358642972535,69.5,208.59481474704108,24.0,257.0,0.0,606.5,1.2012122469549793,0.0
30a39anos,__GERAL__,402350,9503,313.66392817198954,114.0,381.06912285793317,38.0,486.0,0.0,1158.0,1.2148962269227965,0.0
40a49anos,__GERAL__,402350,9503,189.13251398036536,69.0,228.61466443379322,25.0,291.0,0.0,690.0,1.208753902872177,0.0
50a64anos,__GERAL__,402350,9503,95.15920840064621,32.0,117.0851886704222,11.0,141.0,0.0,336.0,1.2304136471739198,0.0
5a10SalariosMinimos,__GERAL__,402350,9503,211.23033428606934,65.0,266.1298050926974,21.0,323.0,0.0,776.0,1.259903346705297,0.0
AreaConstruida,__GERAL__,411853,0,496.16620493234234,128.0,653.2644145840148,92.0,719.0,0.0,1659.5,1.3166241636168965,0.0
AreaOcupada,__GERAL__,411853,0,11235.981705777993,5315.0,12150.337610491306,2629.0,15894.0,0.0,35791.5,1.0813774825072129,0.0
AreadaQuadra,__GERAL__,411853,0,30485.16290575865,13088.0,33846.35015795257,6452.0,43200.0,43.0,98322.0,1.110256496335107,0.0
Ate2SalariosMinimos,__GERAL__,402350,9503,60.49663601342115,20.0,80.31650712713717,3.0,94.0,0.0,230.5,1.3276193920818835,0.0
Brasileira,__GERAL__,402350,9503,861.8240288306201,292.0,1049.8784248201416,107.0,1343.0,3.0,3197.0,1.218205097210722,0.0
CA,__GERAL__,411853,0,0.04607509634371236,0.0129210435468757,0.06243310980249335,0.0027099053778895,0.0645906280265216,0.0,0.1574117119994697,1.3550293923804955,0.0
Caminhada,__GERAL__,411853,0,30741.995391518485,25034.123425,21110.36347046542,15375.97265,42789.96183,0.0,83910.9456,0.6866946403970131,0.0
ComercioServicos,__GERAL__,411853,0,2.8308304176490156,1.0,3.4472245711639453,0.0,4.0,0.0,10.0,1.2177432281608873,0.0
ComercioServicos_pct,__GERAL__,411853,0,0.05821738581484168,0.03,0.0751969364557791,0.0,0.09,0.0,0.225,1.2916577308184238,0.0
ConcentracaoAreaVerde,__GERAL__,411853,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ConcentracaoBOs,__GERAL__,411853,0,6502.261206061386,1682.0,8741.921289349297,361.0,9576.0,0.0,23398.5,1.3444432655520064,0.0
ConcentracaoIES,__GERAL__,411853,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ConcentracaoPatrimonioHistorico,__GERAL__,411853,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DeslocamentoBicicleta,__GERAL__,411853,0,449.27679894808983,169.94125,587.6180475036751,0.0,715.86592,0.0,1789.6647999999998,1.307919858936605,0.0
DeslocamentoCaminhada,__GERAL__,411853,0,28265.555833314364,22762.88918,21672.686158012748,11395.44483168534,39859.41449,0.0,82555.36897747201,0.766752519774222,0.0
DeslocamentoTansporteColetivo,__GERAL__,411853,0,30790.185915426006,27751.914537832472,17537.69348667663,18265.87506,39875.617228,0.0,72290.23048000001,0.5695871254187581,1.8050276859202116e-38
