algo,params,k,n_clusters,acertos,erros,n,acuracia,margem_erro,ci_low,ci_high,acuracia_incl_ruido,n_incl_ruido
kmeans,{'k': 4},4,4.0,189108.0,222745.0,411853,0.45916382787062376,0.0015219473951150631,0.45764226137543074,0.4606861561656609,0.45916382787062376,411853
kmeans,{'k': 5},5,5.0,135888.0,275965.0,411853,0.3299429650870578,0.0014360134777876845,0.32850853781845574,0.33138056477403116,0.3299429650870578,411853
kmeans,{'k': 6},6,6.0,135840.0,276013.0,411853,0.32982641864937245,0.0014358846928223229,0.3283921212528242,0.3312638906384688,0.32982641864937245,411853
kmeans,{'k': 7},7,7.0,114189.0,297664.0,411853,0.2772566911009511,0.0013671510120278315,0.27589161773000875,0.2786259197540644,0.2772566911009511,411853
minibatchkmeans,{'k': 4},4,4.0,190580.0,221273.0,411853,0.462737918626306,0.001522802495460166,0.4612154636933902,0.46426106868431055,0.462737918626306,411853
minibatchkmeans,{'k': 5},5,5.0,153804.0,258049.0,411853,0.3734439229530925,0.001477323952327484,0.37196777945420534,0.3749224273588603,0.3734439229530925,411853
minibatchkmeans,{'k': 6},6,6.0,126642.0,285211.0,411853,0.30749320752792864,0.0014093311906532879,0.3060856719468641,0.30890433432817066,0.30749320752792864,411853
minibatchkmeans,{'k': 7},7,7.0,116734.0,295119.0,411853,0.2834360803490566,0.0013763802489805018,0.2820617201028287,0.28481448060078973,0.2834360803490566,411853
gmm,{'k': 4},4,4.0,147095.0,264758.0,411853,0.357154130235788,0.0014634044670382928,0.35569205816544164,0.35861886709951823,0.357154130235788,411853
gmm,{'k': 5},5,5.0,151743.0,260110.0,411853,0.3684397102849803,0.0014732406834776397,0.36696769673180113,0.36991417809875643,0.3684397102849803,411853
gmm,{'k': 6},6,6.0,118772.0,293081.0,411853,0.2883844478491112,0.0013835409067770904,0.28700288078912506,0.2897699626026793,0.2883844478491112,411853
gmm,{'k': 7},7,7.0,104171.0,307682.0,411853,0.25293247833571686,0.0013275956205440684,0.2516071872406665,0.25426237848175465,0.25293247833571686,411853
kmedoids,{'k': 4},4,,,,0,,,,,,0
kmedoids,{'k': 5},5,,,,0,,,,,,0
kmedoids,{'k': 6},6,,,,0,,,,,,0
kmedoids,{'k': 7},7,,,,0,,,,,,0
