algo,params,k,n_clusters,acertos,erros,n,acuracia,margem_erro,ci_low,ci_high,acuracia_incl_ruido,n_incl_ruido
kmeans,{'k': 3},3,3.0,196993.0,214860.0,411853,0.47830900831121786,0.0015256112471778041,0.4767835993870447,0.4798348218814003,0.47830900831121786,411853
kmeans,{'k': 4},4,4.0,198752.0,213101.0,411853,0.4825799496422267,0.0015261217971532254,0.4810539903308178,0.48410623392512425,0.4825799496422267,411853
kmeans,{'k': 5},5,5.0,139307.0,272546.0,411853,0.3382444707213496,0.0014449316635078919,0.33680104783462655,0.33969091116164235,0.3382444707213496,411853
kmeans,{'k': 6},6,6.0,116817.0,295036.0,411853,0.2836376085642207,0.001376675843642065,0.2822629508435743,0.28501630253085836,0.2836376085642207,411853
kmeans,{'k': 7},7,7.0,110957.0,300896.0,411853,0.26940923096347485,0.0013549610235071474,0.26805642077833886,0.2707663428253531,0.26940923096347485,411853
minibatchkmeans,{'k': 3},3,3.0,213925.0,197928.0,411853,0.5194207642047041,0.0015258965346680146,0.5178946865226075,0.5209464795919436,0.5194207642047041,411853
minibatchkmeans,{'k': 4},4,4.0,197161.0,214692.0,411853,0.47871692084311634,0.0015256648334870332,0.4771914545278245,0.4802427841947986,0.47871692084311634,411853
minibatchkmeans,{'k': 5},5,5.0,137946.0,273907.0,411853,0.3349398936028146,0.001441441642628516,0.3334999915604566,0.3363828748457136,0.3349398936028146,411853
minibatchkmeans,{'k': 6},6,6.0,128894.0,282959.0,411853,0.31296117789599687,0.0014161822001163716,0.31154674030290513,0.31437910470313785,0.31296117789599687,411853
minibatchkmeans,{'k': 7},7,7.0,127164.0,284689.0,411853,0.3087606500377562,0.0014109397728695207,0.30735149405238904,0.31017337359812813,0.3087606500377562,411853
gmm,{'k': 3},3,3.0,209914.0,201939.0,411853,0.509681852505627,0.001526762550773854,0.5081549996472491,0.5112085247487969,0.509681852505627,411853
gmm,{'k': 4},4,4.0,136159.0,275694.0,411853,0.33060096684982265,0.0014367387053101862,0.3291658082161782,0.3320392856267986,0.33060096684982265,411853
gmm,{'k': 5},5,5.0,127292.0,284561.0,411853,0.3090714405382503,0.0014113323137381205,0.30766188911311215,0.3104845537405884,0.3090714405382503,411853
gmm,{'k': 6},6,6.0,106350.0,305503.0,411853,0.25822320099647206,0.0013366502997415694,0.2568888058729404,0.2595621064724235,0.25822320099647206,411853
gmm,{'k': 7},7,7.0,98316.0,313537.0,411853,0.23871624098889652,0.0013019609418896336,0.23741671717463775,0.24002063905841703,0.23871624098889652,411853
kmedoids,{'k': 3},3,,,,0,,,,,,0
kmedoids,{'k': 4},4,,,,0,,,,,,0
kmedoids,{'k': 5},5,,,,0,,,,,,0
kmedoids,{'k': 6},6,,,,0,,,,,,0
kmedoids,{'k': 7},7,,,,0,,,,,,0
