idx,file,algo,k,n_clusters,score_composite,silhouette,calinski,davies,dunn,estabilidade,tempo,aic,bic
0,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0000__kmeans_k3.parquet,kmeans,3,3,1.0247167820073189,0.3069896649846152,174335.36152244726,1.1157313592549307,0.08589268551027328,,0.9868309000012232,,
1,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0001__kmeans_k4.parquet,kmeans,4,4,0.6019148142195739,0.26978877526219697,179804.6991319623,1.1512646398814181,0.047323947360979404,,1.2264515000024403,,
2,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0002__kmeans_k5.parquet,kmeans,5,5,0.392268825628295,0.22667546115177892,166535.22994023174,1.2619707754114826,0.04767833882924126,,1.6381086000001233,,
3,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0003__kmeans_k6.parquet,kmeans,6,6,0.26175381838907474,0.2213043889089921,152910.45538261352,1.2491458032803946,0.04032774892453294,,1.7314710000027844,,
4,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0004__kmeans_k7.parquet,kmeans,7,7,-0.007364414663912758,0.22302190827712962,141624.07680025458,1.2832133407276307,0.020789030806317825,,2.8654864999989513,,
5,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0005__minibatchkmeans_k3.parquet,minibatchkmeans,3,3,0.6670246697098869,0.2545785840621752,165249.8578600604,1.3487833487574032,0.06572607132306636,,0.15864409999994677,,
6,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0006__minibatchkmeans_k4.parquet,minibatchkmeans,4,4,0.8655866526853275,0.26622702437588447,178051.3692780891,1.15773881984701,0.07508783665383263,,0.28500419999909354,,
7,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0007__minibatchkmeans_k5.parquet,minibatchkmeans,5,5,0.5351455697952013,0.22636873868897284,165951.87970233537,1.2591340479568107,0.05661373990276799,,0.250692199999321,,
8,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0008__minibatchkmeans_k6.parquet,minibatchkmeans,6,6,0.301495739854828,0.224834521018744,152835.1106648898,1.2342896824894052,0.03423264233729003,,0.1750136000009661,,
9,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0009__minibatchkmeans_k7.parquet,minibatchkmeans,7,7,0.4257337416388878,0.22411372093802323,140115.67239297682,1.2725888080973409,0.056134370157406896,,0.17534599999999045,,
10,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0010__gmm_k3.parquet,gmm,3,3,-0.5127490328060886,0.15809638881719623,77923.19822150539,1.926327969222885,0.034776156754469024,,2.1797860999977274,9549564.817729902,9550111.238818329
11,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0011__gmm_k4.parquet,gmm,4,4,-1.012650891876894,0.06018369466584104,57520.06958357219,2.0530989295165085,0.03917062714185621,,6.8219901000011305,9185367.264108999,9186099.46836749
12,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0012__gmm_k5.parquet,gmm,5,5,-1.0750029081976384,0.058404934077553684,54353.970200434305,2.7981295544280558,0.04126692758045512,,5.183892600001855,9004300.464511748,9005218.451940306
13,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0013__gmm_k6.parquet,gmm,6,6,-1.1177833274340867,0.015847044690320944,46516.632412251405,2.5791793374654564,0.03187932254609593,,3.159661000001506,8866488.336987088,8867592.107585711
14,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_203007\tables\labels_all_models\0014__gmm_k7.parquet,gmm,7,7,-1.350090038949772,0.011001350049179306,42325.47873071544,2.953110574005421,0.023345237447894174,,4.381541000002471,8756712.080826024,8758001.634594712
