algo,params,k,n_clusters,silhouette,calinski,davies,dunn,estabilidade,tempo,aic,bic,ll_mean,sizes,error,score_composite,acuracia,margem_erro
kmeans,{'k': 3},3,3.0,0.3069896649846152,174335.36152244726,1.1157313592549307,0.08589268551027328,,0.9868309000012232,,,,"{0: 31922, 1: 229977, 2: 149954}",,1.0247167820073189,0.47830900831121786,0.0015256112471778041
kmeans,{'k': 4},4,4.0,0.26978877526219697,179804.6991319623,1.1512646398814181,0.047323947360979404,,1.2264515000024403,,,,"{0: 91799, 1: 106282, 2: 185352, 3: 28420}",,0.6019148142195739,0.4825799496422267,0.0015261217971532254
kmeans,{'k': 5},5,5.0,0.22667546115177892,166535.22994023174,1.2619707754114826,0.04767833882924126,,1.6381086000001233,,,,"{0: 81672, 1: 26092, 2: 51692, 3: 123179, 4: 129218}",,0.392268825628295,0.3382444707213496,0.0014449316635078919
kmeans,{'k': 6},6,6.0,0.2213043889089921,152910.45538261352,1.2491458032803946,0.04032774892453294,,1.7314710000027844,,,,"{0: 59472, 1: 60972, 2: 23109, 3: 100319, 4: 101343, 5: 66638}",,0.26175381838907474,0.2836376085642207,0.001376675843642065
kmeans,{'k': 7},7,7.0,0.22302190827712962,141624.07680025458,1.2832133407276307,0.020789030806317825,,2.8654864999989513,,,,"{0: 95408, 1: 16749, 2: 67636, 3: 60458, 4: 99057, 5: 53296, 6: 19249}",,-0.007364414663912758,0.26940923096347485,0.0013549610235071474
minibatchkmeans,{'k': 3},3,3.0,0.2545785840621752,165249.8578600604,1.3487833487574032,0.06572607132306636,,0.15864409999994677,,,,"{0: 120900, 1: 91558, 2: 199395}",,0.6670246697098869,0.5194207642047041,0.0015258965346680146
minibatchkmeans,{'k': 4},4,4.0,0.26622702437588447,178051.3692780891,1.15773881984701,0.07508783665383263,,0.28500419999909354,,,,"{0: 36230, 1: 84775, 2: 184752, 3: 106096}",,0.8655866526853275,0.47871692084311634,0.0015256648334870332
minibatchkmeans,{'k': 5},5,5.0,0.22636873868897284,165951.87970233537,1.2591340479568107,0.05661373990276799,,0.250692199999321,,,,"{0: 31399, 1: 49951, 2: 125251, 3: 76625, 4: 128627}",,0.5351455697952013,0.3349398936028146,0.001441441642628516
minibatchkmeans,{'k': 6},6,6.0,0.224834521018744,152835.1106648898,1.2342896824894052,0.03423264233729003,,0.1750136000009661,,,,"{0: 58682, 1: 50395, 2: 94665, 3: 65461, 4: 119547, 5: 23103}",,0.301495739854828,0.31296117789599687,0.0014161822001163716
minibatchkmeans,{'k': 7},7,7.0,0.22411372093802323,140115.67239297682,1.2725888080973409,0.056134370157406896,,0.17534599999999045,,,,"{0: 57742, 1: 45288, 2: 90940, 3: 64814, 4: 117745, 5: 16706, 6: 18618}",,0.4257337416388878,0.3087606500377562,0.0014109397728695207
gmm,{'k': 3},3,3.0,0.15809638881719623,77923.19822150539,1.926327969222885,0.034776156754469024,,2.1797860999977274,9549564.817729902,9550111.238818329,-11.593292774035762,"{0: 186621, 1: 139855, 2: 85377}",,-0.5127490328060886,0.509681852505627,0.001526762550773854
gmm,{'k': 4},4,4.0,0.06018369466584104,57520.06958357219,2.0530989295165085,0.03917062714185621,,6.8219901000011305,9185367.264108999,9186099.46836749,-11.151106419170187,"{0: 119970, 1: 94093, 2: 91925, 3: 105865}",,-1.012650891876894,0.33060096684982265,0.0014367387053101862
gmm,{'k': 5},5,5.0,0.058404934077553684,54353.970200434305,2.7981295544280558,0.04126692758045512,,5.183892600001855,9004300.464511748,9005218.451940306,-10.931245449847092,"{0: 112568, 1: 96375, 2: 59463, 3: 58987, 4: 84460}",,-1.0750029081976384,0.3090714405382503,0.0014113323137381205
gmm,{'k': 6},6,6.0,0.015847044690320944,46516.632412251405,2.5791793374654564,0.03187932254609593,,3.159661000001506,8866488.336987088,8867592.107585711,-10.763896750766763,"{0: 86703, 1: 90787, 2: 49204, 3: 62019, 4: 50599, 5: 72541}",,-1.1177833274340867,0.25822320099647206,0.0013366502997415694
gmm,{'k': 7},7,7.0,0.011001350049179306,42325.47873071544,2.953110574005421,0.023345237447894174,,4.381541000002471,8756712.080826024,8758001.634594712,-10.63058431142425,"{0: 80271, 1: 78947, 2: 36152, 3: 54084, 4: 44821, 5: 69696, 6: 47882}",,-1.350090038949772,0.23871624098889652,0.0013019609418896336
kmedoids,{'k': 3},3,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
kmedoids,{'k': 4},4,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
kmedoids,{'k': 5},5,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
kmedoids,{'k': 6},6,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
kmedoids,{'k': 7},7,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
