idx,file,algo,k,n_clusters,score_composite,silhouette,calinski,davies,dunn,estabilidade,tempo,aic,bic
0,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0000__kmeans_k3.parquet,kmeans,3,3,1.1629911818289944,0.3488163025357238,212984.02504521608,1.0049716898000403,0.06960613038456503,,0.951066599999649,,
1,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0001__kmeans_k4.parquet,kmeans,4,4,0.4627638948778318,0.2801455689908449,211050.0416177286,1.0996942613602645,0.02163850004324462,,1.2692761999996947,,
2,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0002__kmeans_k5.parquet,kmeans,5,5,0.5415969556999851,0.23291069313041327,193153.8686434848,1.2082834313622883,0.051335951624411805,,1.882817900000191,,
3,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0003__kmeans_k6.parquet,kmeans,6,6,0.4421386333977886,0.23689930315320407,175630.63431859322,1.2197107978178903,0.046486342912237126,,1.907248299999992,,
4,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0004__kmeans_k7.parquet,kmeans,7,7,0.31718639808630195,0.23287401714887696,165474.56456329013,1.2037411421035138,0.04006105223180202,,2.424204400000235,,
5,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0005__minibatchkmeans_k3.parquet,minibatchkmeans,3,3,0.5728416897651135,0.30803400032857253,187386.16706997473,1.2506274609553794,0.032638118910131034,,0.1769149000001562,,
6,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0006__minibatchkmeans_k4.parquet,minibatchkmeans,4,4,0.7916458698475433,0.277072911494775,210612.3338493858,1.1049733989341717,0.050239132091416165,,0.1684069000002637,,
7,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0007__minibatchkmeans_k5.parquet,minibatchkmeans,5,5,0.45201003857710187,0.2540113719067831,182990.20795010385,1.242845168470875,0.034510121509402046,,0.14797440000074857,,
8,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0008__minibatchkmeans_k6.parquet,minibatchkmeans,6,6,0.1592022262554365,0.23048610859131213,172825.5922469287,1.2502839635142662,0.014707627440576833,,0.14405819999956293,,
9,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0009__minibatchkmeans_k7.parquet,minibatchkmeans,7,7,0.2616073254089753,0.21328381140161037,158544.41094361647,1.2921905272764274,0.034281705938667334,,0.14860589999989315,,
10,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0010__gmm_k3.parquet,gmm,3,3,-0.7443499658982246,0.11521967662808481,67217.68305613809,2.0433205716916247,0.028733016891308683,,3.3855923999999504,7399048.8849430885,7399464.164970294
11,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0011__gmm_k4.parquet,gmm,4,4,-0.9755134077534175,0.06659496814333214,59924.03567631148,2.062286439247192,0.03396046135729464,,8.305911000000378,7163027.74069244,7163585.090202636
12,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0012__gmm_k5.parquet,gmm,5,5,-1.037301360400714,0.053673549332271545,57720.29674705168,2.1713239704185585,0.018226651913894575,,5.052417599999899,7062606.263343217,7063305.682336404
13,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0013__gmm_k6.parquet,gmm,6,6,-1.2150685081059671,0.01869218079663172,50442.08383468553,2.6055127158640303,0.01848555164070662,,4.709311300000081,6961718.454723282,6962559.94319946
14,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_123104\tables\labels_all_models\0014__gmm_k7.parquet,gmm,7,7,-1.1917509715867496,0.023642365752082013,48736.03089352709,2.6655443653431012,0.021345751142176014,,4.982322199999544,6908400.34070538,6909383.898664549
