idx,file,algo,k,n_clusters,score_composite,silhouette,calinski,davies,dunn,estabilidade,tempo,aic,bic
0,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0000__kmeans_k3.parquet,kmeans,3,3,0.9382712314743434,0.17351531134244133,77487.44801696397,1.9617621328717563,0.14899730828665375,,2.5575345000000027,,
1,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0001__kmeans_k4.parquet,kmeans,4,4,0.9125370641431049,0.1811681465329016,71185.92540994629,1.7453986657383207,0.1429985085844269,,2.587645199999997,,
2,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0002__kmeans_k5.parquet,kmeans,5,5,0.3528445883525371,0.14752096103144716,67760.22306616351,1.7827818426203585,0.06641021499626117,,3.174145799999991,,
3,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0003__kmeans_k6.parquet,kmeans,6,6,0.4513406018396656,0.12755926869237585,61000.74082814214,1.8590174374232575,0.12664109070365215,,4.233844999999974,,
4,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0004__kmeans_k7.parquet,kmeans,7,7,0.10054949165769321,0.13415945080869557,55963.78755212771,1.8445420761939713,0.07309254833112061,,7.661870599999986,,
5,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0005__minibatchkmeans_k3.parquet,minibatchkmeans,3,3,0.9230825849767714,0.15994942564682615,76978.66370107824,1.9946194221743578,0.14918921603601176,,0.2840191999999888,,
6,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0006__minibatchkmeans_k4.parquet,minibatchkmeans,4,4,0.5783231498331362,0.13795866819179356,67693.0877322867,1.9080547791482978,0.11364466981335528,,0.46807040000004463,,
7,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0007__minibatchkmeans_k5.parquet,minibatchkmeans,5,5,0.14943276411904624,0.09201383528272879,57150.33485657768,2.0862161332855336,0.09133996840358172,,0.33252850000002354,,
8,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0008__minibatchkmeans_k6.parquet,minibatchkmeans,6,6,0.11383477554755136,0.11225591714078091,60015.810003843464,1.9340158819118691,0.0554341533251496,,0.45018179999999575,,
9,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0009__minibatchkmeans_k7.parquet,minibatchkmeans,7,7,0.265819484147505,0.10199414561443686,52380.90833072146,2.072470227564787,0.11594623422282446,,0.26978639999998677,,
10,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0010__gmm_k3.parquet,gmm,3,3,-0.923174034791775,0.04417429303901699,20226.56720347418,5.176874125884818,0.1281199149632928,,6.616397099999972,28322201.321001712,28324518.146416645
11,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0011__gmm_k4.parquet,gmm,4,4,-1.1097258132722059,0.009790174354342405,23616.113443360868,3.8142304778055585,0.07260835747870846,,9.548778900000002,27061006.421856146,27064099.165216647
12,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0012__gmm_k5.parquet,gmm,5,5,-0.6440679822154793,0.03143242286455904,28268.62608394404,3.2161342301889375,0.10834024042633227,,7.638442199999986,26478817.19363561,26482685.854941674
13,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0013__gmm_k6.parquet,gmm,6,6,-1.0114772743164444,0.01874053186840283,25413.73871530465,3.6321762665037873,0.08179624253272201,,13.802686900000026,25511747.934642162,25516392.513893794
14,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250822_100800\tables\labels_all_models\0014__gmm_k7.parquet,gmm,7,7,-1.0975906314954524,0.01634382253489596,21870.818658721608,3.6398332022777464,0.06213034796371503,,12.092986499999995,25195557.12183456,25200977.61903176
