algo,params,k,n_clusters,acertos,erros,n,acuracia,margem_erro,ci_low,ci_high,acuracia_incl_ruido,n_incl_ruido
kmeans,{'k': 3},3,3.0,220363.0,191490.0,411853,0.5350525551592437,0.001523291760106947,0.5335289364459765,0.5365755199661904,0.5350525551592437,411853
kmeans,{'k': 4},4,4.0,213501.0,198352.0,411853,0.5183912706718173,0.0015260155063131443,0.5168650836206898,0.5199171146333161,0.5183912706718173,411853
kmeans,{'k': 5},5,5.0,147793.0,264060.0,411853,0.35884890968379496,0.0014649375543442325,0.35738528871806546,0.36031516382675394,0.35884890968379496,411853
kmeans,{'k': 6},6,6.0,123218.0,288635.0,411853,0.29917956163971127,0.0013984684043309695,0.29778296639060825,0.30057990319927014,0.29917956163971127,411853
kmeans,{'k': 7},7,7.0,119207.0,292646.0,411853,0.2894406499406342,0.0013850431613209892,0.28805757077436556,0.29082765709700753,0.2894406499406342,411853
minibatchkmeans,{'k': 3},3,3.0,200147.0,211706.0,411853,0.48596708048745546,0.001526447326339639,0.48444076405335346,0.4874936587060328,0.48596708048745546,411853
minibatchkmeans,{'k': 4},4,4.0,172108.0,239745.0,411853,0.41788696452374996,0.0015063158972158995,0.4163814145369311,0.4193940463313629,0.41788696452374996,411853
minibatchkmeans,{'k': 5},5,5.0,127234.0,284619.0,411853,0.3089306135927139,0.001411154536290278,0.30752124125858876,0.3103435503311693,0.3089306135927139,411853
minibatchkmeans,{'k': 6},6,6.0,114174.0,297679.0,411853,0.2772202703391744,0.0013670956587546097,0.27585525266122046,0.27858944397872965,0.2772202703391744,411853
minibatchkmeans,{'k': 7},7,7.0,108155.0,303698.0,411853,0.262605832663596,0.0013439575501489024,0.2612640894106036,0.26395200451090134,0.262605832663596,411853
gmm,{'k': 3},3,3.0,167450.0,244403.0,411853,0.40657710396670654,0.0015001566470535287,0.4050778187229202,0.4080781320170273,0.40657710396670654,411853
gmm,{'k': 4},4,4.0,135367.0,276486.0,411853,0.32867795062801536,0.0014346102831046086,0.3272449383535351,0.33011415891974427,0.32867795062801536,411853
gmm,{'k': 5},5,5.0,143988.0,267865.0,411853,0.34961017644645054,0.0014563374980243265,0.34815524171144435,0.351067916707493,0.34961017644645054,411853
gmm,{'k': 6},6,6.0,116578.0,295275.0,411853,0.2830573044265794,0.0013758237565284486,0.2816835042058409,0.28443515171889777,0.2830573044265794,411853
gmm,{'k': 7},7,7.0,113044.0,298809.0,411853,0.27447657295199984,0.0013628931468968302,0.2731157833777764,0.27584156967157003,0.27447657295199984,411853
kmedoids,{'k': 3},3,,,,0,,,,,,0
kmedoids,{'k': 4},4,,,,0,,,,,,0
kmedoids,{'k': 5},5,,,,0,,,,,,0
kmedoids,{'k': 6},6,,,,0,,,,,,0
kmedoids,{'k': 7},7,,,,0,,,,,,0
