SQ_Ano,SQ,Ano,cluster
001003_2025,001003,2025,0
001004_2025,001004,2025,0
001005_2025,001005,2025,0
001006_2025,001006,2025,0
001007_2025,001007,2025,0
001008_2025,001008,2025,0
001009_2025,001009,2025,0
001010_2025,001010,2025,0
001011_2025,001011,2025,0
001012_2025,001012,2025,0
001013_2025,001013,2025,0
001014_2025,001014,2025,0
001015_2025,001015,2025,0
001016_2025,001016,2025,0
001017_2025,001017,2025,0
001018_2025,001018,2025,0
001019_2025,001019,2025,0
001020_2025,001020,2025,0
001021_2025,001021,2025,0
001022_2025,001022,2025,0
001023_2025,001023,2025,0
001024_2025,001024,2025,0
001025_2025,001025,2025,0
001026_2025,001026,2025,0
001027_2025,001027,2025,0
001028_2025,001028,2025,0
001029_2025,001029,2025,0
001030_2025,001030,2025,0
001031_2025,001031,2025,0
001032_2025,001032,2025,0
001033_2025,001033,2025,0
001034_2025,001034,2025,0
001035_2025,001035,2025,0
001036_2025,001036,2025,0
001037_2025,001037,2025,0
001038_2025,001038,2025,0
001039_2025,001039,2025,0
001040_2025,001040,2025,0
001041_2025,001041,2025,0
001042_2025,001042,2025,0
001043_2025,001043,2025,0
001044_2025,001044,2025,0
001045_2025,001045,2025,0
001046_2025,001046,2025,0
001047_2025,001047,2025,0
001048_2025,001048,2025,0
001049_2025,001049,2025,0
001050_2025,001050,2025,0
001051_2025,001051,2025,0
001052_2025,001052,2025,0
001053_2025,001053,2025,0
001054_2025,001054,2025,0
001055_2025,001055,2025,0
001056_2025,001056,2025,0
001057_2025,001057,2025,0
001058_2025,001058,2025,0
001061_2025,001061,2025,0
001062_2025,001062,2025,0
001063_2025,001063,2025,0
001064_2025,001064,2025,0
001065_2025,001065,2025,0
001066_2025,001066,2025,0
001067_2025,001067,2025,0
001068_2025,001068,2025,0
001069_2025,001069,2025,0
001070_2025,001070,2025,0
001071_2025,001071,2025,0
001072_2025,001072,2025,0
001073_2025,001073,2025,0
001074_2025,001074,2025,0
001075_2025,001075,2025,0
001076_2025,001076,2025,0
001077_2025,001077,2025,0
001078_2025,001078,2025,0
001079_2025,001079,2025,0
001080_2025,001080,2025,0
001081_2025,001081,2025,0
001082_2025,001082,2025,0
001083_2025,001083,2025,0
