algo,params,k,n_clusters,silhouette,calinski,davies,dunn,estabilidade,tempo,aic,bic,ll_mean,sizes,error,score_composite,acuracia,margem_erro
kmeans,{'k': 3},3,3.0,0.17351531134244133,77487.44801696397,1.9617621328717563,0.14899730828665375,,2.5575345000000027,,,,"{0: 99426, 1: 221725, 2: 90702}",,0.9382712314743434,0.5350525551592437,0.001523291760106947
kmeans,{'k': 4},4,4.0,0.1811681465329016,71185.92540994629,1.7453986657383207,0.1429985085844269,,2.587645199999997,,,,"{0: 219104, 1: 76995, 2: 28008, 3: 87746}",,0.9125370641431049,0.5183912706718173,0.0015260155063131443
kmeans,{'k': 5},5,5.0,0.14752096103144716,67760.22306616351,1.7827818426203585,0.06641021499626117,,3.174145799999991,,,,"{0: 108633, 1: 74931, 2: 75226, 3: 126079, 4: 26984}",,0.3528445883525371,0.35884890968379496,0.0014649375543442325
kmeans,{'k': 6},6,6.0,0.12755926869237585,61000.74082814214,1.8590174374232575,0.12664109070365215,,4.233844999999974,,,,"{0: 71758, 1: 103642, 2: 64629, 3: 26629, 4: 64470, 5: 80725}",,0.4513406018396656,0.29917956163971127,0.0013984684043309695
kmeans,{'k': 7},7,7.0,0.13415945080869557,55963.78755212771,1.8445420761939713,0.07309254833112061,,7.661870599999986,,,,"{0: 53130, 1: 63760, 2: 80941, 3: 61873, 4: 21884, 5: 101618, 6: 28647}",,0.10054949165769321,0.2894406499406342,0.0013850431613209892
minibatchkmeans,{'k': 3},3,3.0,0.15994942564682615,76978.66370107824,1.9946194221743578,0.14918921603601176,,0.2840191999999888,,,,"{0: 203999, 1: 111606, 2: 96248}",,0.9230825849767714,0.48596708048745546,0.001526447326339639
minibatchkmeans,{'k': 4},4,4.0,0.13795866819179356,67693.0877322867,1.9080547791482978,0.11364466981335528,,0.46807040000004463,,,,"{0: 88581, 1: 79511, 2: 89637, 3: 154124}",,0.5783231498331362,0.41788696452374996,0.0015063158972158995
minibatchkmeans,{'k': 5},5,5.0,0.09201383528272879,57150.33485657768,2.0862161332855336,0.09133996840358172,,0.33252850000002354,,,,"{0: 70790, 1: 75756, 2: 85962, 3: 113318, 4: 66027}",,0.14943276411904624,0.3089306135927139,0.001411154536290278
minibatchkmeans,{'k': 6},6,6.0,0.11225591714078091,60015.810003843464,1.9340158819118691,0.0554341533251496,,0.45018179999999575,,,,"{0: 79730, 1: 71812, 2: 72983, 3: 99221, 4: 61668, 5: 26439}",,0.11383477554755136,0.2772202703391744,0.0013670956587546097
minibatchkmeans,{'k': 7},7,7.0,0.10199414561443686,52380.90833072146,2.072470227564787,0.11594623422282446,,0.26978639999998677,,,,"{0: 64266, 1: 32105, 2: 71253, 3: 90737, 4: 54044, 5: 26092, 6: 73356}",,0.265819484147505,0.262605832663596,0.0013439575501489024
gmm,{'k': 3},3,3.0,0.04417429303901699,20226.56720347418,5.176874125884818,0.1281199149632928,,6.616397099999972,28322201.321001712,28324518.146416645,-34.383356829987534,"{0: 148521, 1: 152162, 2: 111170}",,-0.923174034791775,0.40657710396670654,0.0015001566470535287
gmm,{'k': 4},4,4.0,0.009790174354342405,23616.113443360868,3.8142304778055585,0.07260835747870846,,9.548778900000002,27061006.421856146,27064099.165216647,-32.85206180585809,"{0: 88070, 1: 119869, 2: 108870, 3: 95044}",,-1.1097258132722059,0.32867795062801536,0.0014346102831046086
gmm,{'k': 5},5,5.0,0.03143242286455904,28268.62608394404,3.2161342301889375,0.10834024042633227,,7.638442199999986,26478817.19363561,26482685.854941674,-32.14509690792055,"{0: 84813, 1: 128150, 2: 60290, 3: 59812, 4: 78788}",,-0.6440679822154793,0.34961017644645054,0.0014563374980243265
gmm,{'k': 6},6,6.0,0.01874053186840283,25413.73871530465,3.6321762665037873,0.08179624253272201,,13.802686900000026,25511747.934642162,25516392.513893794,-30.970877879537312,"{0: 56917, 1: 73816, 2: 103435, 3: 56018, 4: 61561, 5: 60106}",,-1.0114772743164444,0.2830573044265794,0.0013758237565284486
gmm,{'k': 7},7,7.0,0.01634382253489596,21870.818658721608,3.6398332022777464,0.06213034796371503,,12.092986499999995,25195557.12183456,25200977.61903176,-30.586841812290505,"{0: 53800, 1: 78897, 2: 28268, 3: 104607, 4: 35182, 5: 62357, 6: 48742}",,-1.0975906314954524,0.27447657295199984,0.0013628931468968302
kmedoids,{'k': 3},3,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
kmedoids,{'k': 4},4,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
kmedoids,{'k': 5},5,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
kmedoids,{'k': 6},6,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
kmedoids,{'k': 7},7,,,,,,,,,,,{},"Unable to allocate 1.23 TiB for an array with shape (411853, 411853) and data type float64",0.0,,
