idx,file,algo,k,n_clusters,score_composite,silhouette,calinski,davies,dunn,estabilidade,tempo,aic,bic
0,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0000__kmeans_k3.parquet,kmeans,3,3,0.5387975226048769,0.5332149383281617,694361.1496059018,0.5931723359503754,0.015891356399398697,,0.9717549999986659,,
1,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0001__kmeans_k4.parquet,kmeans,4,4,0.38251799287671434,0.5216668614663547,798277.566006383,0.5786548205723714,0.006031631789151383,,0.8922700000039185,,
2,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0002__kmeans_k5.parquet,kmeans,5,5,0.471567868088639,0.5019639671717532,904300.462210523,0.5843656786956087,0.009519916438294538,,1.1956108000013046,,
3,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0003__kmeans_k6.parquet,kmeans,6,6,0.5398043313895353,0.4878143956043399,943369.7966752322,0.581891533721444,0.013235968228185525,,1.469995100000233,,
4,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0004__kmeans_k7.parquet,kmeans,7,7,0.7467600827724065,0.48859865012683895,1053614.2171852062,0.5302195392954585,0.020830685904023958,,1.5235347999987425,,
5,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0005__minibatchkmeans_k3.parquet,minibatchkmeans,3,3,0.7160846106925991,0.5336137242594251,693105.5877791847,0.5924732452426116,0.022606252954467655,,0.04550980000203708,,
6,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0006__minibatchkmeans_k4.parquet,minibatchkmeans,4,4,0.4508119425900818,0.5002676675507494,700490.2051721676,0.6139799416656508,0.010928399995672376,,0.04451110000081826,,
7,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0007__minibatchkmeans_k5.parquet,minibatchkmeans,5,5,0.4822482506982573,0.5002071826471247,902957.5298807481,0.5857100579389675,0.00760630464096476,,0.04436829999758629,,
8,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0008__minibatchkmeans_k6.parquet,minibatchkmeans,6,6,0.6607088498590368,0.4974229836622964,926212.6092077725,0.528903527482971,0.01591586695771795,,0.047389200000907294,,
9,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0009__minibatchkmeans_k7.parquet,minibatchkmeans,7,7,0.5562339352662194,0.46974816540679715,1021888.1779735376,0.5537859220704149,0.009823542969709716,,0.04910770000424236,,
10,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0010__gmm_k3.parquet,gmm,3,3,-0.8730939922875414,0.03344262828387138,5855.710722392404,5.373063349693104,0.000488808976178083,,2.0542860999994446,47975494.51588989,47976040.77062321
11,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0011__gmm_k4.parquet,gmm,4,4,-1.1114791785606335,-0.0009610505616864371,12356.772259362782,11.132437549250458,0.0006060039048043233,,3.308679100002337,47447977.130638756,47448709.11198141
12,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0012__gmm_k5.parquet,gmm,5,5,-1.0986606408155937,-0.07106099051489152,16132.512846883883,9.95570269198348,0.00042270821704737095,,3.526145000003453,46803043.07930521,46803960.78725719
13,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0013__gmm_k6.parquet,gmm,6,6,-1.0567131123772506,-0.08822264600636061,14779.05212650994,6.944470446141669,0.0002714947110776339,,5.014726300003531,46473866.85481962,46474970.28938092
14,D:\v2_tese\teste_modelo\dados_tese\cluster_results\run_20250821_213610\tables\labels_all_models\0014__gmm_k7.parquet,gmm,7,7,-1.4055884627973503,-0.10259579628429123,16898.265949910976,12.919976499485955,0.00015011155529056147,,8.220531999999366,46292471.35486294,46293760.51603358
